title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Kirby Tilt 'n' Tumble    ,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,1.23m,0.29m,0.17m,0.75m,0.02m,11th Apr 01  
"WarioWare, Inc.: Mega MicroGame$    ",GBA,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,1.23m,0.40m,0.11m,0.70m,0.02m,21st May 03  
Intelligent Qube    ,PS,Sony Computer Entertainment  ,Sony Computer Entertainment  ,7.4  ,N/A  ,1.22m,0.13m,0.07m,1.00m,0.02m,30th Sep 97  
Pac-Man    ,NES,Namco  ,Namco  ,N/A  ,N/A  ,1.22m,0.27m,0.08m,0.85m,0.02m,01st Nov 93  
Boom Blox    ,Wii,Electronic Arts  ,EA Los Angeles  ,8.6  ,8.9  ,1.21m,0.71m,0.38m,0.00m,0.12m,06th May 08  
Mario vs. Donkey Kong 2: March of the Minis    ,DS,Nintendo  ,Nintendo Software Technology Corporation  ,7.7  ,N/A  ,1.19m,0.73m,0.03m,0.36m,0.07m,25th Sep 06  
Mario vs. Donkey Kong    ,GBA,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,N/A  ,1.17m,0.68m,0.25m,0.21m,0.02m,24th May 04  
Qix    ,GB,Nintendo  ,Taito Corporation  ,N/A  ,N/A  ,1.15m,0.51m,0.20m,0.41m,0.03m,01st May 90  
Puyo Puyo Sun Ketteiban    ,PS,Compile  ,Compile  ,N/A  ,N/A  ,1.15m,N/A,N/A,1.07m,0.07m,27th Nov 97  
Yoshi's Cookie    ,NES,Nintendo  ,Bullet Proof Software  ,N/A  ,N/A  ,1.12m,0.41m,0.06m,0.63m,0.02m,01st Apr 93  
Lumines: Puzzle Fusion    ,PSP,Ubisoft  ,Q Entertainment  ,9.1  ,N/A  ,1.11m,0.52m,0.35m,N/A,0.23m,22nd Mar 05  
Lode Runner    ,NES,Broderbund  ,Hudson Soft  ,N/A  ,N/A  ,1.10m,N/A,N/A,1.10m,0.00m,01st Sep 87  
Bomberman 64    ,N64,Hudson Soft  ,Hudson Soft  ,6.1  ,N/A  ,1.04m,0.50m,0.20m,0.31m,0.03m,02nd Dec 97  
Bomberman    ,NES,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,1.03m,0.18m,N/A,0.85m,N/A,01st Jan 89  
Pong: The Next Level    ,PS,Hasbro Interactive  ,Supersonic Software  ,N/A  ,N/A  ,1.01m,0.56m,0.38m,N/A,0.07m,31st Oct 99  
Puzzler Collection    ,DS,Zoo Digital Publishing  ,Route 1 Games  ,N/A  ,N/A  ,0.99m,0.16m,0.78m,N/A,0.04m,05th Aug 08  
Tetris 2    ,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,0.98m,0.62m,0.13m,0.21m,0.02m,01st Oct 93  
TouchMaster 2    ,DS,Midway Games  ,Midway Studios San Diego  ,N/A  ,N/A  ,0.89m,0.30m,0.49m,N/A,0.10m,21st Oct 08  
Super Bomberman R    ,NS,Konami Digital Entertainment  ,HexaDrive  ,6.3  ,N/A  ,0.87m,0.31m,0.32m,0.19m,0.06m,03rd Mar 17  
Lemmings    ,PSP,Sony Computer Entertainment  ,Team17 Software  ,7.3  ,N/A  ,0.86m,0.12m,0.52m,N/A,0.23m,23rd May 06  
Captain Toad: Treasure Tracker    ,NS,Nintendo  ,Nintendo EPD  ,8.1  ,N/A  ,0.85m,0.31m,0.31m,0.17m,0.06m,13th Jul 18  
Q*bert    ,PS,Hasbro Interactive  ,Artech Digital Entertainment  ,N/A  ,N/A  ,0.84m,0.46m,0.32m,N/A,0.05m,30th Nov 99  
I Spy: Fun House    ,DS,Scholastic Inc.  ,Big Blue Bubble Inc.  ,N/A  ,N/A  ,0.82m,0.76m,N/A,N/A,0.06m,29th Aug 07  
Clu Clu Land    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,0.82m,0.42m,0.10m,0.28m,0.02m,18th Oct 85  
Super Bomberman 2    ,SNES,Hudson Soft  ,Produce!  ,N/A  ,N/A  ,0.81m,N/A,N/A,0.81m,0.00m,01st Sep 94  
Professor Layton and the Azran Legacy    ,3DS,Nintendo  ,Level 5  ,8.0  ,N/A  ,0.81m,N/A,0.53m,0.25m,0.03m,28th Feb 14  
The Next Tetris    ,PS,Atari  ,Blue Planet Software  ,N/A  ,N/A  ,0.81m,0.45m,0.31m,N/A,0.05m,31st May 99  
Jr. Pac-Man    ,2600,Atari  ,General Entertainment  ,N/A  ,N/A  ,0.78m,0.72m,0.05m,N/A,0.01m,01st Jan 84  
Puzzler World    ,DS,Atari  ,Idea Pad  ,N/A  ,N/A  ,0.77m,0.41m,0.30m,N/A,0.07m,08th Dec 09  
Tetris Party Deluxe    ,DS,Majesco  ,"Tetris Online, Inc  ",N/A  ,N/A  ,0.77m,0.28m,0.30m,0.12m,0.07m,01st Jun 10  
Drawn to Life: The Next Chapter    ,Wii,THQ  ,Planet Moon Studios  ,5.8  ,N/A  ,0.75m,0.28m,0.39m,N/A,0.08m,27th Oct 09  
