title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Dead Rising 3    ,XOne,Microsoft Studios  ,Capcom  ,1.63m,1.06m,0.40m,0.01m,0.15m,22nd Nov 13  
Uncharted: Golden Abyss    ,PSV,Sony Computer Entertainment  ,SCEA Bend Studio / Naughty Dog  ,1.62m,0.53m,0.71m,0.13m,0.25m,15th Feb 12  
Just Cause 2    ,X360,Square Enix  ,Avalanche Studios  ,1.60m,0.59m,0.83m,0.02m,0.17m,23rd Mar 10  
Devil May Cry 4    ,PS3,Capcom  ,Capcom  ,1.58m,0.58m,0.45m,0.34m,0.20m,05th Feb 08  
Batman: Arkham Knight    ,XOne,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,1.58m,0.97m,0.46m,N/A,0.14m,23rd Jun 15  
LEGO Pirates of the Caribbean: The Video Game    ,Wii,Disney Interactive Studios  ,Traveller's Tales  ,1.57m,0.73m,0.69m,N/A,0.15m,10th May 11  
Hannah Montana: Music Jam    ,DS,Disney Interactive Studios  ,Fall Line Studio  ,1.56m,1.05m,0.36m,N/A,0.15m,16th Oct 07  
Twisted Metal    ,PS,Sony Computer Entertainment  ,SingleTrac  ,1.56m,1.32m,0.19m,N/A,0.05m,05th Nov 95  
Final Fight    ,SNES,Capcom  ,Capcom  ,1.56m,0.67m,0.17m,0.69m,0.03m,10th Nov 91  
Mafia II    ,X360,2K Games  ,Illusion Softworks  ,1.56m,0.85m,0.55m,N/A,0.15m,24th Aug 10  
Spider-Man 2: Enter: Electro    ,PS,Activision  ,Vicarious Visions  ,1.55m,0.57m,0.87m,0.02m,0.09m,17th Oct 01  
Pac-Man World 2    ,PS2,Namco  ,Namco  ,1.51m,1.26m,0.05m,N/A,0.21m,24th Feb 02  
Star Wars: The Force Unleashed II    ,PS3,LucasArts  ,LucasArts  ,1.51m,0.80m,0.50m,N/A,0.21m,26th Oct 10  
Dragon Ball: Xenoverse 2    ,PS4,Namco Bandai Games  ,Dimps Corporation  ,1.50m,0.54m,0.59m,0.14m,0.23m,25th Oct 16  
Metal Gear Rising: Revengeance    ,PS3,Konami Digital Entertainment  ,PlatinumGames  ,1.50m,0.47m,0.41m,0.44m,0.18m,19th Feb 13  
Pac-Man World    ,PS,Namco  ,Namco  ,1.50m,1.21m,0.14m,0.10m,0.04m,30th Sep 99  
Mafia II    ,PS3,2K Games  ,Illusion Softworks  ,1.49m,0.50m,0.70m,0.04m,0.25m,24th Aug 10  
Dead Rising 2    ,X360,Capcom  ,Blue Castle Games  ,1.49m,0.75m,0.53m,0.09m,0.13m,28th Sep 10  
LEGO Star Wars III: The Clone Wars    ,X360,LucasArts  ,Traveller's Tales  ,1.48m,0.84m,0.51m,N/A,0.13m,22nd Mar 11  
Tom Clancy's Splinter Cell: Pandora Tomorrow    ,XB,Ubisoft  ,Ubisoft Shanghai  ,1.48m,0.82m,0.59m,N/A,0.07m,23rd Mar 04  
Dying Light    ,XOne,Warner Bros. Interactive Entertainment  ,Techland  ,1.47m,1.01m,0.31m,0.01m,0.14m,06th Feb 16  
Ryse: Son of Rome    ,XOne,Microsoft Studios  ,Crytek  ,1.47m,0.84m,0.49m,0.00m,0.13m,22nd Nov 13  
The SpongeBob SquarePants Movie    ,GBA,THQ  ,WayForward  ,1.46m,1.02m,0.38m,N/A,0.06m,27th Oct 04  
Resident Evil 4    ,Wii,Capcom  ,Capcom Production Studio 4  ,1.46m,1.26m,0.06m,0.14m,N/A,19th Jun 07  
Onimusha 3: Demon Siege    ,PS2,Capcom  ,Capcom  ,1.45m,0.37m,0.47m,0.54m,0.07m,27th Apr 04  
Resident Evil Outbreak    ,PS2,Capcom  ,Capcom Production Studio 1  ,1.45m,0.54m,0.35m,0.46m,0.10m,31st Mar 04  
Assassin's Creed Syndicate    ,XOne,Ubisoft  ,Ubisoft Quebec  ,1.44m,0.71m,0.61m,N/A,0.12m,23rd Oct 15  
Star Wars: The Force Unleashed II    ,X360,LucasArts  ,LucasArts  ,1.44m,0.95m,0.37m,N/A,0.12m,26th Oct 10  
Frogger 2: Swampy's Revenge    ,PS,Hasbro Interactive  ,Blitz Games  ,1.43m,0.80m,0.54m,N/A,0.09m,10th Oct 00  
Middle-Earth: Shadow of Mordor    ,XOne,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,1.42m,0.77m,0.52m,0.01m,0.12m,30th Sep 14  
Resident Evil    ,GC,Capcom  ,Capcom  ,1.42m,0.63m,0.38m,0.35m,0.05m,30th Apr 02  
