title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
WCW Mayhem    ,PS,Electronic Arts  ,Kodiak Interactive  ,1.22m,0.68m,0.46m,N/A,0.08m,22nd Sep 99  
Naruto Shippuden: Ultimate Ninja Storm 2    ,PS3,Namco Bandai  ,CyberConnect2  ,1.21m,0.42m,0.47m,0.15m,0.17m,19th Oct 10  
Dragon Ball Z: La Legende Saien    ,SNES,Bandai  ,TOSE  ,1.20m,N/A,N/A,1.20m,0.00m,01st Jan 94  
WWE 2K14    ,PS3,2K Sports  ,Yuke's  ,1.20m,0.49m,0.51m,N/A,0.20m,29th Oct 13  
Dragon Ball: Xenoverse    ,PS4,Namco Bandai Games  ,Dimps Corporation  ,1.19m,0.33m,0.55m,0.14m,0.17m,24th Feb 15  
WWE SmackDown vs Raw 2008    ,PSP,THQ  ,Yuke's Media Creations  ,1.19m,0.45m,0.47m,N/A,0.28m,13th Nov 07  
WWE '12    ,PS3,THQ  ,"Yuke's Co., Ltd.  ",1.18m,0.53m,0.45m,0.02m,0.17m,22nd Nov 11  
WWE SmackDown vs. Raw 2010    ,PS3,THQ  ,JAKKS Pacific  ,1.17m,0.48m,0.48m,0.01m,0.19m,20th Oct 09  
Bushido Blade    ,PS,Sony Computer Entertainment  ,Light Weight  ,1.16m,0.39m,0.27m,0.43m,0.08m,30th Sep 97  
Mortal Kombat    ,X360,Warner Bros. Interactive  ,NetherRealm Studios  ,1.14m,0.85m,0.19m,N/A,0.10m,19th Apr 11  
Fight Night Champion    ,PS3,EA Sports  ,EA Canada  ,1.13m,0.45m,0.50m,N/A,0.18m,01st Mar 11  
WWE 2K14    ,X360,2K Sports  ,Yuke's  ,1.12m,0.64m,0.38m,N/A,0.10m,29th Oct 13  
EA Sports UFC    ,PS4,Electronic Arts  ,EA Canada  ,1.11m,0.49m,0.43m,0.01m,0.18m,17th Jun 14  
WWE SmackDown vs. Raw 2011    ,PS3,THQ  ,JAKKS Pacific  ,1.09m,0.44m,0.46m,0.01m,0.18m,26th Oct 10  
Virtua Fighter 5    ,PS3,Sega  ,Sega-AM2  ,1.08m,0.29m,0.52m,0.08m,0.20m,20th Feb 07  
Dragon Ball Z: Taiketsu    ,GBA,Atari  ,Webfoot Technologies  ,1.08m,0.77m,0.29m,N/A,0.02m,24th Nov 03  
Marvel vs. Capcom 3: Fate of Two Worlds    ,X360,Capcom  ,Capcom  ,1.07m,0.79m,0.18m,0.03m,0.08m,15th Feb 11  
Virtua Fighter    ,SAT,Sega  ,Sega-AM2  ,1.07m,0.17m,0.12m,0.77m,0.02m,11th May 95  
WWE SmackDown vs. Raw 2010    ,PS2,THQ  ,JAKKS Pacific  ,1.07m,0.53m,0.01m,N/A,0.54m,20th Oct 09  
SoulCalibur III    ,PS2,Namco  ,Namco  ,1.07m,0.74m,0.15m,0.13m,0.05m,25th Oct 05  
Naruto: Ultimate Ninja Storm    ,PS3,Namco Bandai  ,CyberConnect2  ,1.07m,0.49m,0.34m,0.09m,0.15m,04th Nov 08  
Mortal Kombat: Armageddon    ,PS2,Midway Games  ,Midway Games  ,1.06m,0.88m,0.04m,N/A,0.14m,09th Oct 06  
UFC Undisputed 3    ,PS3,THQ  ,Yukie's Osaka  ,1.05m,0.55m,0.33m,0.03m,0.14m,14th Feb 12  
Tag Team Match M.U.S.C.L.E.    ,NES,Bandai  ,Bandai  ,1.05m,N/A,N/A,1.05m,0.00m,01st Oct 86  
WWE SmackDown vs. Raw 2010    ,X360,THQ  ,JAKKS Pacific  ,1.04m,0.56m,0.37m,0.01m,0.10m,20th Oct 09  
Naruto: Clash of Ninja 2     ,GC,D3 Publisher  ,8ing/Raizing  ,1.04m,0.44m,0.12m,0.45m,0.03m,26th Sep 06  
