title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Batman: Arkham Origins    ,PC,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,0.32m,0.13m,0.17m,N/A,0.03m,22nd Apr 14  
Batman: Arkham Origins    ,WiiU,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,0.32m,0.19m,0.10m,0.00m,0.03m,25th Oct 13  
Sonic Boom: Rise of Lyric    ,WiiU,Sega  ,Big Red Button  ,0.31m,0.19m,0.09m,N/A,0.03m,11th Nov 14  
The LEGO Movie Videogame    ,PSV,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.31m,0.04m,0.20m,N/A,0.07m,07th Feb 14  
LEGO Ninjago: Shadow of Ronin    ,3DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.31m,0.05m,0.19m,0.05m,0.02m,24th Mar 15  
Sorcery    ,PS3,Sony Computer Entertainment  ,The Workshop  ,0.30m,0.14m,0.11m,N/A,0.05m,22nd May 12  
LEGO DC Super-Villains    ,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.30m,0.20m,0.07m,N/A,0.03m,16th Oct 18  
Lego Star Wars: The Force Awakens    ,WiiU,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.29m,0.12m,0.13m,0.02m,0.02m,28th Jun 16  
Black Panther: Yakuza New Chapter    ,PSP,Sega  ,Amusement Vision  ,0.29m,N/A,N/A,0.29m,N/A,22nd Sep 10  
Assassin's Creed IV: Black Flag    ,WiiU,Ubisoft  ,Ubisoft Montreal  ,0.29m,0.17m,0.10m,N/A,0.03m,29th Oct 13  
One Piece Unlimited World: Red    ,PS3,Namco Bandai Games  ,Ganbarion  ,0.29m,0.09m,0.10m,0.06m,0.04m,08th Jul 14  
Just Cause 4    ,XOne,Square Enix  ,Avalanche Studios  ,0.29m,0.17m,0.09m,N/A,0.03m,04th Dec 18  
How to Train Your Dragon 2    ,3DS,Little Orbit  ,Torus Games  ,0.28m,0.04m,0.22m,N/A,0.02m,10th Jun 14  
Lego Star Wars: The Force Awakens    ,3DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.28m,0.05m,0.19m,0.02m,0.02m,28th Jun 16  
Siren: Blood Curse     ,PS3,Sony Computer Entertainment  ,SCE Japan Studio  ,0.28m,N/A,0.17m,0.09m,0.01m,24th Jul 08  
LEGO The Hobbit    ,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.27m,0.13m,0.13m,N/A,0.02m,08th Apr 14  
Metal Gear Solid V: Ground Zeroes    ,XOne,Konami Digital Entertainment  ,Kojima Productions  ,0.27m,0.13m,0.13m,N/A,0.02m,18th Mar 14  
Family Guy: Back to the Multiverse    ,PS3,Activision  ,Heavy Iron Studios  ,0.27m,0.12m,0.11m,N/A,0.05m,20th Nov 12  
Batman: Arkham Origins Blackgate    ,3DS,Warner Bros. Interactive Entertainment  ,Armature Studio  ,0.27m,0.16m,0.09m,N/A,0.02m,25th Oct 13  
Robinson: The Journey    ,PS4,Sony Interactive Entertainment  ,Crytek  ,0.27m,0.14m,0.09m,N/A,0.05m,08th Nov 16  
Shenmue I & II    ,PS4,Sega  ,Sega  ,0.27m,0.09m,0.10m,0.05m,0.04m,21st Aug 18  
The Amazing Spider-Man 2 (2014)    ,PS3,Activision  ,Beenox  ,0.27m,0.06m,0.14m,0.02m,0.04m,29th Apr 14  
ReCore    ,XOne,Microsoft Studios  ,Armature Studio  ,0.26m,0.16m,0.06m,0.01m,0.02m,13th Sep 16  
The Amazing Spider-Man 2 (2014)    ,X360,Activision  ,Beenox  ,0.25m,0.12m,0.12m,N/A,0.02m,29th Apr 14  
LEGO The Hobbit    ,3DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.25m,0.10m,0.13m,N/A,0.02m,08th Apr 14  
Spirit Camera: The Cursed Memoir    ,3DS,Nintendo  ,Tecmo Koei Games  ,0.25m,0.15m,0.02m,0.06m,0.02m,13th Apr 12  
Star Trek: The Game    ,PS3,Namco Bandai Games  ,Digital Extremes  ,0.25m,0.10m,0.11m,N/A,0.04m,23rd Apr 13  
Family Guy: Back to the Multiverse    ,X360,Activision  ,Heavy Iron Studios  ,0.25m,0.14m,0.09m,N/A,0.02m,20th Nov 12  
Far Cry: Primal    ,PC,Ubisoft  ,Ubisoft Montreal  ,0.25m,0.07m,0.16m,N/A,0.02m,01st Mar 16  
Lego Star Wars: The Force Awakens    ,X360,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.24m,0.08m,0.14m,N/A,0.02m,28th Jun 16  
Darksiders II: Deathinitive Edition    ,PS4,Nordic Games  ,Gunfire Games  ,0.24m,0.10m,0.10m,N/A,0.04m,30th Oct 15  
Skylanders: SuperChargers Racing    ,Wii,Activision  ,Beenox  ,0.23m,0.07m,0.15m,N/A,0.02m,20th Sep 15  
LEGO The Hobbit    ,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.23m,0.09m,0.11m,N/A,0.02m,08th Apr 14  
No Man's Sky    ,XOne,505 Games  ,Hello Games  ,0.23m,0.17m,0.04m,N/A,0.02m,24th Jul 18  
The Amazing Spider-Man 2 (2014)    ,XOne,Activision  ,Beenox  ,0.22m,0.12m,0.08m,N/A,0.02m,29th Apr 14  
Hitman 2    ,XOne,Warner Bros. Interactive Entertainment  ,IO Interactive  ,0.22m,0.14m,0.06m,N/A,0.02m,13th Nov 18  
Judgment     ,PS4,Sega  ,Sega  ,0.22m,N/A,N/A,0.22m,N/A,25th Jun 19  
Star Trek: The Game    ,X360,Namco Bandai Games  ,Digital Extremes  ,0.21m,0.12m,0.08m,N/A,0.02m,23rd Apr 13  
Tom Clancy's Splinter Cell: Blacklist    ,PC,Ubisoft  ,Ubisoft Toronto  ,0.21m,0.06m,0.14m,N/A,0.02m,20th Aug 13  
Conan Exiles    ,PS4,Maximum Games  ,Funcom Oslo A/S  ,0.21m,0.05m,0.05m,0.09m,0.02m,08th May 18  
The Amazing Spider-Man (2012)    ,3DS,Activision  ,Beenox  ,0.21m,0.16m,0.03m,N/A,0.02m,26th Jun 12  
State of Decay: Year One Survival Edition    ,XOne,Microsoft Studios  ,Undead Labs  ,0.21m,0.14m,0.05m,N/A,0.02m,28th Apr 15  
Castlevania: Lords of Shadow 2    ,PS3,Konami Digital Entertainment  ,Mercury Steam  ,0.20m,0.03m,0.13m,0.02m,0.03m,25th Feb 14  
Code of Princess    ,3DS,Atlus  ,Studio Saizensen  ,0.20m,0.16m,N/A,0.03m,0.02m,09th Oct 12  
The Amazing Spider-Man (2012)    ,DS,Activision  ,Other Ocean Interactive  ,0.20m,0.15m,0.03m,N/A,0.02m,26th Jun 12  
Sleeping Dogs: Definitive Edition    ,XOne,Square Enix  ,United Front Games  ,0.20m,0.10m,0.09m,N/A,0.02m,14th Oct 14  
Skylanders: SuperChargers Racing    ,3DS,Activision  ,Beenox  ,0.20m,0.11m,0.07m,N/A,0.02m,20th Sep 15  
How to Train Your Dragon 2    ,Wii,Little Orbit  ,Torus Games  ,0.19m,0.04m,0.14m,N/A,0.01m,10th Jun 14  
Lego Star Wars: The Force Awakens    ,PSV,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.18m,0.02m,0.10m,0.02m,0.03m,28th Jun 16  
How to Train Your Dragon 2    ,X360,Little Orbit  ,Torus Games  ,0.18m,0.06m,0.10m,N/A,0.01m,10th Jun 14  
Murdered: Soul Suspect    ,XOne,Square Enix  ,Airtight Games  ,0.17m,0.08m,0.07m,N/A,0.01m,03rd Jun 14  
Dead Rising 4: Frank's Big Package    ,PS4,Capcom  ,Capcom  ,0.16m,0.08m,0.05m,N/A,0.03m,05th Dec 17  
Just Cause 3    ,PC,Square Enix  ,Avalanche Studios  ,0.16m,0.03m,0.12m,N/A,0.01m,01st Dec 15  
Adventure Time: Explore the Dungeon Because I Don't Know!    ,3DS,D3Publisher  ,Way Forward  ,0.16m,0.10m,0.04m,N/A,0.01m,19th Nov 13  
Legends of Chima: Laval's Journey    ,PSV,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.16m,0.01m,0.11m,N/A,0.04m,25th Jun 13  
Naruto Powerful Shippuden    ,3DS,Namco Bandai Games  ,Namco Bandai Games  ,0.16m,0.08m,0.02m,0.04m,0.01m,05th Mar 13  
Darksiders II    ,WiiU,THQ  ,Vigil Games  ,0.16m,0.07m,0.07m,N/A,0.01m,18th Nov 12  
Castlevania: Lords of Shadow - Mirror of Fate    ,3DS,Konami Digital Entertainment  ,Mercury Steam  ,0.16m,0.04m,0.08m,0.03m,0.01m,05th Mar 13  
LEGO The Hobbit    ,PSV,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.16m,0.02m,0.10m,N/A,0.03m,08th Apr 14  
The Amazing Spider-Man (2012)    ,Wii,Activision  ,Beenox  ,0.16m,0.10m,0.04m,N/A,0.01m,26th Jun 12  
Metal Gear Solid V: The Phantom Pain    ,X360,Konami Digital Entertainment  ,Kojima Productions  ,0.16m,0.10m,0.05m,N/A,0.01m,01st Sep 15  
Gravity Rush Remastered    ,PS4,Sony Computer Entertainment  ,Bluepoint Games  ,0.16m,0.02m,0.06m,0.05m,0.02m,02nd Feb 16  
Assassin's Creed Rogue Remastered    ,PS4,Ubisoft  ,Ubisoft  ,0.15m,N/A,0.13m,0.01m,0.02m,20th Mar 18  
One Piece Unlimited World: Red    ,PSV,Namco Bandai Games  ,Ganbarion  ,0.15m,0.04m,0.04m,0.04m,0.03m,08th Jul 14  
Darksiders II    ,PC,THQ  ,Vigil Games  ,0.15m,0.03m,0.10m,N/A,0.02m,14th Aug 12  
Okami HD    ,PS3,Capcom  ,HexaDrive  ,0.14m,N/A,N/A,0.14m,N/A,30th Oct 12  
Murdered: Soul Suspect    ,PS3,Square Enix  ,Airtight Games  ,0.14m,0.05m,0.05m,0.02m,0.02m,03rd Jun 14  
We Happy Few    ,PS4,Gearbox Software  ,Compulsion Games  ,0.14m,0.08m,0.04m,N/A,0.02m,10th Aug 18  
Rodea the Sky Soldier    ,WiiU,NIS America  ,Kadokawa Games  ,0.14m,0.10m,0.02m,0.01m,0.01m,10th Nov 15  
Metal Gear Solid V: Ground Zeroes    ,X360,Konami Digital Entertainment  ,Kojima Productions  ,0.14m,0.06m,0.05m,0.01m,0.01m,18th Mar 14  
Watch Dogs    ,WiiU,Ubisoft  ,Ubisoft Montreal  ,0.13m,0.07m,0.05m,N/A,0.01m,18th Nov 14  
Tom Clancy's Splinter Cell: Blacklist    ,WiiU,Ubisoft  ,Ubisoft Shanghai  ,0.13m,0.04m,0.07m,N/A,0.01m,20th Aug 13  
Sleeping Dogs    ,PC,Square Enix  ,United Front Games  ,0.12m,0.06m,0.05m,N/A,0.01m,14th Aug 12  
LEGO Batman 2: DC Super Heroes    ,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.12m,0.04m,0.07m,N/A,0.01m,21st May 13  
Darksiders: Warmastered Edition    ,PS4,THQ Nordic  ,Kaiko  ,0.11m,0.07m,0.02m,N/A,0.02m,22nd Nov 16  
Fatal Frame 2: Wii Edition    ,Wii,Nintendo  ,Koei Tecmo Games  ,0.11m,N/A,0.00m,0.10m,0.00m,28th Jun 12  
How to Train Your Dragon 2    ,PS3,Little Orbit  ,Torus Games  ,0.10m,0.03m,0.06m,N/A,0.02m,10th Jun 14  
