title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Assassin's Creed III: Liberation    ,PSV,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,1.48m,0.53m,0.57m,0.06m,0.32m,30th Oct 12  
Disney Princess: Magical Jewels     ,DS,Disney Interactive Studios  ,1st Playable Productions  ,N/A  ,N/A  ,1.44m,1.12m,0.20m,N/A,0.12m,16th Oct 07  
The Legend of Zelda: The Minish Cap    ,GBA,Nintendo  ,Flagship  ,8.9  ,N/A  ,1.42m,0.89m,0.22m,0.22m,0.10m,10th Jan 05  
Super Metroid    ,SNES,Nintendo  ,Intelligent Systems  ,8.0  ,N/A  ,1.42m,0.57m,0.12m,0.71m,0.02m,18th Apr 94  
LEGO Indiana Jones 2: The Adventure Continues    ,Wii,LucasArts  ,Traveller's Tales  ,7.5  ,N/A  ,1.41m,0.90m,0.38m,N/A,0.13m,17th Nov 09  
LEGO Indiana Jones: The Original Adventures    ,PS2,LucasArts  ,Traveller's Tales  ,N/A  ,N/A  ,1.37m,0.60m,0.01m,N/A,0.76m,03rd Jun 08  
LEGO Harry Potter: Years 1-4    ,PS3,Warner Bros. Interactive  ,Traveller's Tales  ,7.9  ,N/A  ,1.37m,0.55m,0.61m,N/A,0.21m,29th Jun 10  
Disney Princess: Enchanted Journey    ,Wii,Disney Interactive Studios  ,Papaya Studios  ,N/A  ,N/A  ,1.35m,1.22m,0.03m,N/A,0.10m,30th Oct 07  
The ICO & Shadow of the Colossus Collection    ,PS3,Sony Computer Entertainment  ,Bluepoint Games  ,9.0  ,N/A  ,1.34m,0.67m,0.36m,0.13m,0.18m,27th Sep 11  
Grand Theft Auto: Chinatown Wars    ,DS,Rockstar Games  ,Rockstar Leeds/North  ,9.5  ,9.6  ,1.33m,0.58m,0.56m,0.05m,0.14m,17th Mar 09  
Rugrats Studio Tour    ,PS,THQ  ,n-Space  ,N/A  ,N/A  ,1.31m,0.57m,0.67m,N/A,0.07m,10th Nov 99  
LEGO Batman: The Videogame    ,PS3,Warner Bros. Interactive  ,Traveller's Tales  ,7.2  ,N/A  ,1.31m,0.72m,0.39m,N/A,0.19m,23rd Sep 08  
Adventure    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,1.30m,1.21m,0.08m,N/A,0.01m,01st Jan 78  
LEGO Batman: The Videogame    ,PSP,Warner Bros. Interactive  ,Traveller's Tales  ,7.9  ,N/A  ,1.30m,0.57m,0.46m,N/A,0.27m,23rd Sep 08  
LEGO Batman: The Videogame    ,PS2,Warner Bros. Interactive  ,Traveller's Tales  ,7.6  ,N/A  ,1.27m,0.72m,0.03m,N/A,0.52m,23rd Sep 08  
Mystery Case Files: MillionHeir    ,DS,Nintendo  ,Big Fish Games  ,7.4  ,N/A  ,1.27m,0.75m,0.39m,N/A,0.12m,08th Sep 08  
Tomb Raider: Underworld    ,PS3,Eidos Interactive  ,Crystal Dynamics  ,7.8  ,N/A  ,1.26m,0.45m,0.55m,0.05m,0.21m,18th Nov 08  
The Legend of Zelda: Tri Force Heroes    ,3DS,Nintendo  ,GREZZO  ,7.4  ,N/A  ,1.24m,0.61m,0.34m,0.19m,0.09m,23rd Oct 15  
Parfait: Chocolat Second Style    ,PS2,Alchemist  ,Alchemist  ,N/A  ,N/A  ,1.22m,0.59m,0.46m,0.01m,0.15m,29th Jun 06  
Minecraft: Story Mode    ,X360,Mojang  ,Telltale Games  ,N/A  ,N/A  ,1.20m,0.67m,0.42m,N/A,0.11m,27th Oct 15  
Scarface: The World is Yours    ,PS2,Sierra Entertainment  ,Radical Entertainment  ,N/A  ,N/A  ,1.19m,0.99m,0.04m,N/A,0.16m,08th Oct 06  
LEGO Indiana Jones 2: The Adventure Continues    ,DS,LucasArts  ,Traveller's Tales  ,N/A  ,N/A  ,1.19m,0.65m,0.43m,N/A,0.12m,17th Nov 09  
Metal Gear Solid VR Missions    ,PS,Konami  ,Konami Computer Entertainment Japan  ,6.8  ,N/A  ,1.18m,0.66m,0.45m,N/A,0.08m,24th Sep 99  
LEGO Indiana Jones: The Original Adventures    ,PSP,LucasArts  ,Traveller's Tales  ,7.6  ,N/A  ,1.18m,0.40m,0.49m,N/A,0.30m,03rd Jun 08  
Shenmue    ,DC,Sega  ,Sega-AM2  ,8.9  ,N/A  ,1.18m,0.52m,0.24m,0.38m,0.04m,07th Nov 00  
PokéPark Wii: Pikachu's Adventure    ,Wii,Nintendo  ,Creatures Inc.  ,N/A  ,N/A  ,1.18m,0.53m,0.17m,0.42m,0.06m,02nd Nov 10  
Shadow of the Colossus    ,PS2,Sony Computer Entertainment  ,Team ICO  ,9.1  ,9.4  ,1.14m,0.78m,0.03m,0.20m,0.13m,18th Oct 05  
Grand Theft Auto: The Trilogy    ,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,1.14m,N/A,0.51m,N/A,0.62m,20th Nov 05  
Rabbids Go Home    ,Wii,Ubisoft  ,Ubisoft Montpellier  ,8.0  ,N/A  ,1.13m,0.25m,0.74m,N/A,0.14m,03rd Nov 09  
Yakuza 3    ,PS3,Sega  ,Sega  ,7.9  ,N/A  ,1.12m,0.21m,0.21m,0.62m,0.08m,09th Mar 10  
Yakuza 2    ,PS2,Sega  ,Sega  ,7.9  ,N/A  ,1.09m,0.05m,0.04m,0.84m,0.16m,09th Sep 08  
Alien: Isolation    ,PS4,Sega  ,Creative Assembly  ,N/A  ,N/A  ,1.09m,0.29m,0.59m,0.05m,0.16m,07th Oct 14  
Grand Theft Auto: Chinatown Wars    ,PSP,Rockstar Games  ,Rockstar Leeds  ,9.2  ,N/A  ,1.08m,0.28m,0.50m,0.03m,0.27m,20th Oct 09  
Prince of Persia    ,PS3,Ubisoft  ,Ubisoft Montreal  ,8.3  ,8.2  ,1.07m,0.47m,0.41m,0.03m,0.17m,02nd Dec 08  
MySims Agents    ,DS,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,1.07m,0.54m,0.42m,0.00m,0.11m,29th Sep 09  
Tomb Raider: Underworld     ,X360,Eidos Interactive  ,Crystal Dynamics  ,7.5  ,N/A  ,1.07m,0.53m,0.42m,0.01m,0.11m,18th Nov 08  
Endless Ocean    ,Wii,Nintendo  ,Arika  ,6.8  ,N/A  ,1.06m,0.43m,0.46m,0.09m,0.09m,21st Jan 08  
MySims Agents    ,Wii,Electronic Arts  ,EA Redwood Shores  ,7.5  ,N/A  ,1.05m,0.63m,0.32m,0.00m,0.10m,29th Sep 09  
Legacy of Kain: Soul Reaver    ,PS,Eidos Interactive  ,Crystal Dynamics  ,8.9  ,N/A  ,1.04m,0.58m,0.40m,N/A,0.07m,16th Aug 99  
LEGO Indiana Jones: The Original Adventures    ,PS3,LucasArts  ,Traveller's Tales  ,7.7  ,N/A  ,1.03m,0.44m,0.43m,N/A,0.17m,03rd Jun 08  
Disney Fairies: Tinker Bell and the Lost Treasure    ,DS,Disney Interactive Studios  ,Hyde  ,N/A  ,N/A  ,1.03m,0.57m,0.35m,0.02m,0.10m,27th Oct 09  
LEGO Indiana Jones 2: The Adventure Continues    ,X360,LucasArts  ,Traveller's Tales  ,N/A  ,N/A  ,1.02m,0.62m,0.31m,N/A,0.09m,17th Nov 09  
Harry Potter and the Prisoner of Azkaban    ,PS2,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,1.02m,0.50m,0.39m,N/A,0.13m,02nd Jun 04  
Prince of Persia    ,X360,Ubisoft  ,Ubisoft Montreal  ,8.2  ,6.0  ,1.01m,0.54m,0.34m,0.02m,0.10m,02nd Dec 08  
Apollo Justice: Ace Attorney    ,DS,Capcom  ,Capcom  ,8.0  ,N/A  ,0.99m,0.28m,0.05m,0.64m,0.03m,19th Feb 08  
Gangs of London    ,PSP,Sony Computer Entertainment  ,SCEE London Studio  ,5.0  ,N/A  ,0.96m,0.30m,0.43m,N/A,0.22m,03rd Oct 06  
Scooby-Doo! First Frights    ,Wii,Warner Bros. Interactive  ,Torus Games  ,N/A  ,N/A  ,0.96m,0.84m,0.04m,N/A,0.07m,22nd Sep 09  
Tom Clancy's Splinter Cell: Chaos Theory    ,PS2,Ubisoft  ,Ubisoft Montreal / Annecy  ,N/A  ,N/A  ,0.95m,0.36m,0.45m,N/A,0.14m,28th Mar 05  
Yakuza 4    ,PS3,Sega  ,Sega  ,7.7  ,N/A  ,0.95m,0.15m,0.13m,0.63m,0.05m,15th Mar 11  
Destroy All Humans!    ,PS2,THQ  ,Pandemic Studios  ,N/A  ,N/A  ,0.94m,0.78m,0.03m,N/A,0.13m,21st Jun 05  
Prince of Persia: The Sands of Time    ,XB,Ubisoft  ,Ubisoft Montreal  ,9.0  ,N/A  ,0.94m,0.57m,0.33m,N/A,0.04m,12th Nov 03  
Monster High: Ghoul Spirit    ,DS,THQ  ,THQ  ,N/A  ,N/A  ,0.93m,0.69m,0.16m,N/A,0.07m,25th Oct 11  
Phoenix Wright: Ace Attorney    ,DS,Capcom  ,Capcom  ,8.1  ,N/A  ,0.93m,0.44m,0.05m,0.39m,0.05m,12th Oct 05  
Assassin's Creed    ,PC,Ubisoft  ,Ubisoft Montreal  ,7.6  ,N/A  ,0.91m,0.01m,0.84m,N/A,0.06m,08th Apr 08  
LEGO Indiana Jones 2: The Adventure Continues    ,PS3,LucasArts  ,Traveller's Tales  ,N/A  ,N/A  ,0.90m,0.47m,0.30m,N/A,0.13m,17th Nov 09  
Minecraft: Story Mode    ,PS3,Mojang  ,Telltale Games  ,N/A  ,N/A  ,0.89m,0.32m,0.43m,N/A,0.15m,27th Oct 15  
Classic NES Series: The Legend of Zelda    ,GBA,Nintendo  ,Nintendo  ,N/A  ,N/A  ,0.89m,0.46m,0.17m,0.24m,0.02m,02nd Jun 04  
CSI: Hard Evidence    ,Wii,Ubisoft  ,Telltale Games  ,N/A  ,N/A  ,0.89m,0.36m,0.43m,N/A,0.10m,15th Jan 08  
Minecraft: Story Mode    ,PS4,Mojang  ,Telltale Games  ,N/A  ,N/A  ,0.87m,0.31m,0.42m,N/A,0.14m,27th Oct 15  
Harry Potter and the Order of the Phoenix    ,DS,Electronic Arts  ,Visual Impact  ,N/A  ,N/A  ,0.84m,0.28m,0.46m,N/A,0.10m,25th Jun 07  
Metroid: Zero Mission    ,GBA,Nintendo  ,Nintendo R&D1  ,8.9  ,N/A  ,0.84m,0.60m,0.22m,N/A,0.01m,09th Feb 04  
Scooby-Doo! First Frights    ,DS,Warner Bros. Interactive  ,Torus Games  ,N/A  ,N/A  ,0.83m,0.60m,0.16m,N/A,0.07m,22nd Sep 09  
Mega Man Legends    ,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,0.83m,0.39m,0.26m,0.12m,0.05m,31st Aug 98  
