title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
"Warhammer 40,000: Squad Command    ",PSP,THQ  ,RedLynx  ,0.33m,0.11m,0.14m,N/A,0.08m,12th Nov 07  
Battlestations: Pacific    ,X360,Eidos Interactive  ,Eidos Studios Hungary  ,0.32m,0.17m,0.11m,0.01m,0.03m,12th May 09  
Dragon Quest Monsters: Battle Road Victory    ,Wii,Square Enix  ,Armor Project/Bird Studio  ,0.32m,N/A,N/A,0.32m,N/A,15th Jul 10  
Shin Super Robot Taisen Special Disk    ,PS,Banpresto  ,Banpresto  ,0.32m,N/A,N/A,0.30m,0.02m,28th Mar 97  
Kingdom Under Fire: The Crusaders    ,XB,Microsoft  ,Phantagram  ,0.32m,0.24m,0.07m,N/A,0.01m,12th Oct 04  
Romance of the Three Kingdoms VII    ,PS2,KOEI  ,Koei  ,0.32m,0.08m,0.06m,0.16m,0.02m,25th Jun 02  
WarCraft II: The Dark Saga    ,PS,Electronic Arts  ,Blizzard Entertainment  ,0.31m,0.18m,0.12m,N/A,0.02m,31st Aug 97  
Yu-Gi-Oh! The Dawn of Destiny    ,XB,Konami  ,Konami Computer Entertainment Japan  ,0.31m,0.23m,0.07m,N/A,0.01m,23rd Mar 04  
SD Gundam G Generation Wars    ,PS2,Bandai  ,Tom Create  ,0.31m,N/A,N/A,0.31m,N/A,06th Aug 09  
Super Robot Taisen Complete Box    ,PS,Banpresto  ,Bandai  ,0.31m,N/A,N/A,0.29m,0.02m,10th Jun 99  
XCOM 2    ,PC,2K Games  ,Firaxis Games  ,0.31m,0.12m,0.16m,N/A,0.02m,30th Nov 15  
Lord of the Rings: Battle for Middle-Earth     ,X360,Electronic Arts  ,EA Los Angeles  ,0.31m,0.28m,N/A,N/A,0.02m,05th Jul 06  
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia    ,DS,Konami  ,Konami  ,0.31m,0.18m,0.02m,0.09m,0.02m,23rd Feb 10  
SD Gundam G Generation: Overworld    ,PSP,Namco Bandai Games  ,Namco Bandai Games  ,0.31m,N/A,N/A,0.31m,N/A,27th Sep 12  
XCOM 2    ,PS4,2K Games  ,Firaxis Games  ,0.31m,0.16m,0.10m,N/A,0.05m,27th Sep 16  
The Settlers 7: Paths to a Kingdom    ,PC,Ubisoft  ,Blue Byte  ,0.31m,N/A,0.27m,N/A,0.04m,23rd Mar 10  
Super Robot Taisen W    ,DS,Banpresto  ,Banpresto  ,0.30m,N/A,N/A,0.30m,N/A,01st Mar 07  
Super Robot Taisen OG: Original Generations Gaiden    ,PS2,Banpresto  ,Banpresto  ,0.30m,N/A,N/A,0.30m,N/A,27th Dec 07  
Romance of the Three Kingdoms VIII    ,PS2,KOEI  ,Koei  ,0.30m,0.05m,0.04m,0.19m,0.01m,13th Aug 03  
Invizimals: Shadow Zone    ,PSP,Sony Computer Entertainment  ,Novarama  ,0.30m,0.05m,0.16m,N/A,0.08m,25th Oct 11  
Dragon Force    ,SAT,Working Designs  ,Sega  ,0.30m,N/A,N/A,0.30m,0.00m,30th Nov 96  
Full Spectrum Warrior    ,PS2,THQ  ,Pandemic Studios  ,0.30m,0.15m,0.11m,N/A,0.04m,21st Mar 05  
Little King's Story    ,Wii,Xseed Games  ,Cing Inc. / Town Factory  ,0.29m,0.14m,0.11m,0.02m,0.02m,21st Jul 09  
Kagero: Deception II    ,PS,Tecmo  ,Tecmo  ,0.29m,0.03m,0.02m,0.22m,0.02m,14th Oct 98  
Zoo Tycoon 2 DS    ,DS,THQ  ,Altron  ,0.29m,0.24m,0.03m,N/A,0.02m,04th Feb 08  
SD Gundam G Century    ,PS,Bandai  ,Bandai  ,0.29m,N/A,N/A,0.27m,0.02m,20th Mar 97  
Dynasty Tactics    ,PS2,KOEI  ,Koei  ,0.29m,0.06m,0.05m,0.16m,0.02m,17th Sep 02  
Romance of the Three Kingdoms III: Dragon of Destiny    ,SNES,KOEI  ,Koei  ,0.29m,N/A,N/A,0.29m,N/A,01st Jan 93  
Culdcept    ,3DS,NIS America  ,OmiyaSoft  ,0.29m,0.04m,0.01m,0.23m,0.01m,03rd Oct 17  
Lord of Darkness    ,SNES,KOEI  ,Koei  ,0.28m,N/A,N/A,0.28m,0.00m,01st Jan 94  
Yu-Gi-Oh! World Championship 2008    ,DS,Konami  ,Konami  ,0.28m,0.13m,0.02m,0.12m,0.01m,04th Dec 07  
Kakyuusei    ,SAT,Elf  ,Elf  ,0.28m,N/A,N/A,0.28m,0.00m,25th Apr 97  
Civilization II    ,PS,Activision  ,LTI Grey Matter  ,0.28m,0.15m,0.11m,N/A,0.02m,20th Jan 98  
SD Gundam G Generation Portable    ,PSP,Namco Bandai  ,Bandai Namco Games  ,0.27m,N/A,N/A,0.27m,N/A,03rd Aug 06  
Command & Conquer    ,N64,Nintendo  ,Looking Glass Studios  ,0.27m,0.22m,0.05m,N/A,0.00m,31st May 99  
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu    ,DS,Nintendo  ,Intelligent Systems  ,0.27m,N/A,N/A,0.27m,N/A,15th Jul 10  
Plants vs. Zombies    ,X360,PopCap Games  ,PopCap Games  ,0.27m,0.24m,N/A,N/A,0.02m,28th Sep 10  
R.U.S.E.    ,X360,Ubisoft  ,Eugen Systems  ,0.27m,0.12m,0.11m,0.00m,0.02m,07th Sep 10  
