title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Thief: The Dark Project    ,PC,Eidos Interactive  ,Looking Glass Studios  ,9.3  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,30th Nov 98  
Zero Cho Aniki    ,PSP,GungHo  ,"extreme Co.,Ltd.  ",N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,19th Mar 09  
Oretachi no Sabage Portable    ,PSP,Best Media  ,Best Media  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,25th Dec 08  
Chaos Field    ,GC,O3 Entertainment  ,MileStone Inc.  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,20th Dec 05  
World War II Combat: Iwo Jima    ,XB,Groove Games  ,Direct Action Games  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,21st Jul 06  
Castle of Shikigami III    ,X360,Arc System Works  ,Alfa System  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,13th Dec 07  
Deadfall Adventures    ,X360,Nordic Games  ,The Farm 51  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,01st Jul 13  
Burn Zombie Burn!    ,PC,P2 Games  ,Doublesix  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,12th Aug 10  
Kokuga    ,3DS,G.Rev  ,G.rev Ltd.  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,27th Sep 12  
The Ball    ,PC,Tripwire Interactive  ,Teotl Studios  ,6.3  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,18th Jan 11  
Aliens versus Predator    ,PC,Fox Interactive  ,Rebellion Developments  ,8.7  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,30th Apr 99  
Defender    ,GBA,Midway Games  ,OutLook Entertainment  ,3.5  ,N/A  ,0.01m,0.00m,0.00m,N/A,0.00m,03rd Nov 02  
Duke Nukem Advance    ,GBA,Take-Two Interactive  ,Torus Games  ,8.5  ,N/A  ,0.01m,0.00m,0.00m,N/A,0.00m,12th Aug 02  
Ziggurat    ,XOne,Milkstone Studios  ,Milkstone Studios  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,20th Mar 15  
Radirgy Noa Wii    ,Wii,Milestone  ,MileStone Inc.  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,25th Feb 10  
Deep Black    ,PC,505 Games  ,BiArt Studios  ,N/A  ,N/A  ,0.01m,N/A,0.00m,N/A,0.00m,01st Jan 70  
Portal    ,PC,Valve Corporation  ,Valve Software  ,9.0  ,N/A  ,0.01m,N/A,0.00m,N/A,0.00m,09th Apr 08  
Call of Duty    ,PC,Activision  ,Infinity Ward  ,7.0  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,29th Oct 03  
Tom Clancy's Splinter Cell     ,PC,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.01m,N/A,0.00m,N/A,0.00m,19th Feb 03  
Duke Nukem Trilogy: Critical Mass    ,PSP,Unknown  ,FrontLine Studios  ,N/A  ,N/A  ,0.00m,0.00m,N/A,N/A,0.00m,N/A  
