title,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Jikkyou World Soccer 2000 Final Edition,PlayStation 2,0.66,NA,NA,0.66,NA
Ratatouille,PSP,0.66,0.22,0.28,NA,0.16
Madagascar,GameCube,0.66,0.52,0.13,NA,0.02
NHL 10,Xbox 360,0.66,0.51,0.10,NA,0.06
Dragon Quest Monsters: Caravan Heart,GBA,0.66,NA,NA,0.64,0.02
Strawberry Shortcake: Summertime Adventure,GBA,0.66,0.47,0.18,NA,0.01
Street Fighter Anniversary Collection,PlayStation 2,0.66,0.32,0.25,NA,0.08
Peppa Pig: Fun and Games,DS,0.66,NA,0.57,NA,0.09
Legend of Legaia,PlayStation,0.66,0.37,0.25,NA,0.04
One Piece: Pirate Warriors 2,PlayStation 3,0.66,NA,0.21,0.42,0.03
NHL 16,PlayStation 4,0.66,0.38,0.16,NA,0.12
Freedom Wars,PlayStation Vita,0.66,0.15,0.10,0.32,0.08
The Sims: Bustin' Out,GameCube,0.66,0.43,0.20,NA,0.03
Keystone Kapers,2600,0.66,0.62,0.04,NA,0.01
Fist of the North Star: Ken's Rage,PlayStation 3,0.66,0.06,0.03,0.55,0.01
Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,0.66,0.39,0.21,NA,0.06
Plants vs Zombies: Garden Warfare,PlayStation 4,0.66,0.24,0.30,0.01,0.11
Shrek: Hassle at the Castle,GBA,0.66,0.47,0.17,NA,0.01
Toy Story 3: The Video Game,PSP,0.66,0.27,0.24,NA,0.14
Suikoden IV,PlayStation 2,0.66,0.17,0.13,0.30,0.05
Gods Eater Burst,PSP,0.66,0.03,0.00,0.62,0.00
Disney's Kim Possible 2: Drakken's Demise,GBA,0.66,0.47,0.17,NA,0.01
Um Jammer Lammy,PlayStation,0.66,0.12,0.08,0.41,0.04
Brothers In Arms: Road to Hill 30,Xbox,0.66,0.49,0.14,NA,0.02
Taiko no Tatsujin DS: Touch de Dokodon!,DS,0.66,NA,NA,0.66,NA
Tomb Raider: Definitive Edition,Xbox One,0.66,0.38,0.22,NA,0.06
Animaniacs Ten Pin Alley,PlayStation,0.66,0.36,0.25,NA,0.04
Shaun White Snowboarding,PlayStation 3,0.66,0.31,0.24,0.01,0.10
Spyro Reignited Trilogy,Xbox One,0.65,0.36,0.24,NA,0.06
Wario: Master of Disguise,DS,0.65,0.28,0.02,0.33,0.03
The Biggest Loser: Challenge,Wii,0.65,0.48,0.12,NA,0.05
Kung Fu Panda,PlayStation 2,0.65,0.24,0.00,NA,0.41
Dead or Alive 5,PlayStation 3,0.65,0.23,0.15,0.21,0.07
Angry Birds Trilogy,3DS,0.65,0.38,0.22,NA,0.06
Radiata Stories,PlayStation 2,0.65,0.18,0.14,0.29,0.05
Tearaway,PlayStation Vita,0.65,0.10,0.41,NA,0.15
MX vs. ATV Untamed,PSP,0.65,0.35,0.18,NA,0.13
The LEGO Movie Videogame,Xbox One,0.65,0.42,0.17,NA,0.06
Transformers: The Game,PSP,0.65,0.23,0.27,NA,0.16
F-Zero GX,GameCube,0.65,0.41,0.11,0.12,0.02
Disney's Chicken Little,PlayStation 2,0.65,0.32,0.25,NA,0.08
Tiger Woods PGA Tour 09,PlayStation 3,0.65,0.34,0.22,NA,0.10
Scene It? Box Office Smash,Xbox 360,0.65,0.33,0.25,NA,0.07
Yoshi Topsy-Turvy,GBA,0.65,0.25,0.09,0.30,0.01
Borderlands: The Pre-Sequel,PlayStation 3,0.65,0.28,0.22,0.05,0.10
Monster Jam: Maximum Destruction,PlayStation 2,0.65,0.32,0.25,NA,0.08
Crafting Mama,DS,0.65,0.39,0.20,0.01,0.05
Crash Bandicoot N. Sane Trilogy,Xbox One,0.65,0.23,0.37,NA,0.05
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,0.65,0.47,0.17,NA,0.01
World of Dragon Warrior - Torneko: The Last Hope,PlayStation,0.65,0.02,0.01,0.58,0.04
Wall-E,PSP,0.65,0.29,0.22,NA,0.14
Tiger Woods PGA Tour 09,Xbox 360,0.65,0.35,0.23,NA,0.07
Advance Wars 2: Black Hole Rising,GBA,0.65,0.47,0.17,NA,0.01
Centipede,PlayStation,0.65,0.36,0.25,NA,0.04
Drakengard,PlayStation 2,0.65,0.19,0.15,0.26,0.05
SingStar Pop Hits,PlayStation 2,0.65,NA,0.50,NA,0.15
007: Quantum of Solace,Wii,0.65,0.29,0.28,0.01,0.07
Kung-Fu Master,2600,0.65,0.60,0.04,NA,0.01
Champions: Return to Arms,PlayStation 2,0.65,0.32,0.25,NA,0.08
Need for Speed: Undercover,Wii,0.65,0.27,0.31,0.00,0.07
Dragon Quest Monsters Joker 3,3DS,0.65,NA,NA,0.65,NA
Harry Potter and the Goblet of Fire,PlayStation 2,0.65,0.54,0.02,NA,0.09
Tales of Berseria,PlayStation 4,0.65,0.22,0.10,0.26,0.07
SingStar R&B,PlayStation 2,0.65,NA,0.05,NA,0.60
Mary-Kate and Ashley: Magical Mystery Mall,PlayStation,0.65,0.36,0.24,NA,0.04
Yakuza Zero,PlayStation 4,0.65,0.22,0.16,0.19,0.08
LEGO Dimensions,Wii U,0.65,0.37,0.22,NA,0.06
Tiger Woods PGA Tour 10,Xbox 360,0.65,0.39,0.20,NA,0.06
LEGO City Undercover,Switch,0.65,0.23,0.33,0.03,0.05
Star Ocean: First Departure,PSP,0.65,0.20,0.14,0.22,0.09
Far Cry 4,PC,0.65,0.19,0.41,NA,0.05
Super Robot Taisen Impact,PlayStation 2,0.65,NA,NA,0.65,NA
One Piece: Burning Blood,PlayStation 4,0.65,0.21,0.26,0.09,0.09
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,0.65,NA,NA,0.65,NA
Drawn to Life: The Next Chapter,DS,0.65,0.44,0.14,NA,0.06
Harry Potter and the Half-Blood Prince,PlayStation 2,0.64,0.13,0.07,NA,0.44
Crash Bandicoot Purple: Ripto's Rampage,GBA,0.64,0.46,0.17,NA,0.01
Spyro: A Hero's Tail,PlayStation 2,0.64,0.32,0.25,NA,0.08
Crash: Twinsanity,PlayStation 2,0.64,0.32,0.25,NA,0.08
Shin Megami Tensei: Persona 3 Portable,PSP,0.64,0.18,0.07,0.34,0.05
Batman: Return to Arkham,PlayStation 4,0.64,0.15,0.39,0.01,0.10
Rayman 3D,3DS,0.64,0.23,0.36,NA,0.06
Max Payne 2: The Fall of Max Payne,Xbox,0.64,0.47,0.15,NA,0.02
Sengoku Basara: Samurai Heroes,PlayStation 3,0.64,0.17,0.04,0.40,0.02
GoldenEye: Rogue Agent,PlayStation 2,0.64,0.54,0.02,NA,0.09
WWE 2K15,Xbox 360,0.64,0.38,0.21,NA,0.06
New Play Control! Pikmin,Wii,0.64,0.28,0.13,0.19,0.04
Paws & Claws: Pet Vet,DS,0.64,0.59,NA,NA,0.05
Dragon Ball: Raging Blast 2,Xbox 360,0.64,0.49,0.09,0.01,0.05
Real Heroes: Firefighter,Wii,0.64,0.56,0.04,NA,0.05
James Bond 007: Everything or Nothing,Xbox,0.64,0.43,0.19,NA,0.02
Up,DS,0.64,0.30,0.27,NA,0.07
X2: Wolverine's Revenge,PlayStation 2,0.64,0.31,0.24,NA,0.08
NBA Live 06,Xbox,0.64,0.57,0.04,NA,0.03
Castlevania,Nintendo 64,0.64,0.44,0.10,0.04,0.05
Rayman 2: The Great Escape,Nintendo 64,0.64,0.40,0.22,NA,0.02
Tom Clancy's Rainbow Six,Nintendo 64,0.64,0.48,0.15,NA,0.01
Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,0.64,0.46,0.17,NA,0.01
Dead Island: Riptide,PlayStation 3,0.64,0.26,0.21,0.07,0.10
LittleBigPlanet 3,PlayStation 3,0.64,0.20,0.33,0.01,0.10
The Walking Dead: Survival Instinct,Xbox 360,0.64,0.46,0.11,NA,0.06
Just Dance 2014,Wii U,0.64,0.34,0.25,NA,0.06
TimeSplitters 2,Xbox,0.64,0.29,0.33,NA,0.01
Onimusha: Dawn of Dreams,PlayStation 2,0.64,0.15,0.12,0.34,0.04
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,0.64,NA,NA,0.64,NA
Stuntman: Ignition,Xbox 360,0.64,0.25,0.31,NA,0.07
Rock Band 3,Wii,0.64,0.53,0.06,NA,0.05
Scribblenauts: Unlimited,3DS,0.64,0.57,0.01,NA,0.07
SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,0.64,0.46,0.17,NA,0.01
Konami Collector's Series: Arcade Advanced,GBA,0.64,0.46,0.17,NA,0.01
Lost Planet: Extreme Condition,PlayStation 3,0.64,0.31,0.17,0.07,0.08
Jampack Volume 13 (RP-T),PlayStation 2,0.64,0.31,0.24,NA,0.08
Cruis'n World,Nintendo 64,0.64,0.59,0.04,NA,0.01
Madden NFL 2001,Nintendo 64,0.64,0.60,0.03,NA,0.01
Crash of the Titans,PSP,0.64,0.25,0.25,NA,0.15
Aliens: Colonial Marines,PlayStation 3,0.64,0.20,0.33,NA,0.10
Lemony Snicket's A Series of Unfortunate Events,PlayStation 2,0.64,0.31,0.24,NA,0.08
X-Men Legends II: Rise of Apocalypse,PlayStation 2,0.63,0.53,0.02,NA,0.09
White Knight Chronicles II,PlayStation 3,0.63,0.23,0.09,0.27,0.04
Nightmare Creatures,PlayStation,0.63,0.35,0.24,NA,0.04
Disney Sing It: Party Hits,Wii,0.63,0.48,0.10,NA,0.05
LEGO Star Wars II: The Original Trilogy,Xbox 360,0.63,0.55,0.03,NA,0.05
SingStar Queen,PlayStation 2,0.63,0.08,0.12,NA,0.44
NBA Live 08,PlayStation 3,0.63,0.56,0.02,0.01,0.05
WWE 2K16,Xbox One,0.63,0.34,0.24,NA,0.06
Tony Hawk's Pro Skater 2x,Xbox,0.63,0.41,0.19,NA,0.03
The Sims 3: Generations,PC,0.63,0.40,0.23,NA,NA
Sim Theme Park,PlayStation,0.63,0.35,0.24,NA,0.04
Iron Man,PSP,0.63,0.46,0.09,NA,0.09
Just Dance 3,PlayStation 3,0.63,0.34,0.21,NA,0.09
Wolfenstein,PlayStation 3,0.63,0.25,0.27,NA,0.11
FIFA Soccer 2003,Xbox,0.63,0.20,0.40,NA,0.04
The Lord of the Rings: Conquest,Xbox 360,0.63,0.37,0.20,NA,0.06
Dragon Age II,PC,0.63,0.23,0.33,NA,0.08
Monster Hunter 2,PlayStation 2,0.63,NA,NA,0.63,NA
LEGO The Incredibles,Switch,0.63,0.35,0.21,0.01,0.06
Assassin's Creed IV: Black Flag,PC,0.63,0.24,0.34,NA,0.05
NASCAR 06: Total Team Control,PlayStation 2,0.63,0.53,0.02,NA,0.09
Condemned 2: Bloodshot,Xbox 360,0.63,0.38,0.19,NA,0.06
Dogz,GBA,0.63,0.45,0.17,NA,0.01
A Bug's Life,Nintendo 64,0.63,0.49,0.13,NA,0.01
Super Castlevania IV,SNES,0.63,0.32,0.05,0.25,0.01
Plants vs. Zombies: Garden Warfare 2,PlayStation 4,0.63,0.22,0.31,NA,0.10
LEGO Pirates of the Caribbean: The Video Game,3DS,0.63,0.29,0.28,NA,0.06
XCOM: Enemy Unknown,Xbox 360,0.63,0.36,0.22,NA,0.06
Mobile Suit Z Gundam: AEUG vs. Titans,PlayStation 2,0.63,NA,NA,0.63,NA
Juiced 2: Hot Import Nights,Xbox 360,0.63,0.22,0.34,NA,0.07
Sega Rally Revo,PlayStation 3,0.63,0.07,0.43,NA,0.14
Ape Escape 2,PlayStation 2,0.63,0.12,0.09,0.38,0.03
X-Man,2600,0.63,0.58,0.04,NA,0.01
Shin Megami Tensei: Persona 3 FES,PlayStation 2,0.63,0.22,0.20,0.16,0.05
FIFA Soccer 2002,PlayStation 2,0.63,0.31,0.24,NA,0.08
Final Fantasy VII International,PlayStation,0.63,NA,NA,0.59,0.04
Cooking Mama 4: Kitchen Magic!,3DS,0.63,0.50,0.07,NA,0.06
Okami,PlayStation 2,0.63,0.11,0.03,0.15,0.34
NHL 2001,PlayStation,0.63,0.35,0.24,NA,0.04
Transformers: Revenge of the Fallen,Xbox 360,0.63,0.34,0.23,NA,0.06
FIFA Soccer,PlayStation Vita,0.63,0.16,0.35,0.02,0.09
Tony Hawk's Project 8,PlayStation 3,0.63,0.30,0.23,0.01,0.10
Cabela's Big Game Hunter (2008),Wii,0.63,0.58,0.00,NA,0.05
NieR,PlayStation 3,0.63,0.17,0.19,0.20,0.07
Buzz Lightyear of Star Command,PlayStation,0.63,0.35,0.24,NA,0.04
Namco Museum,GameCube,0.63,0.48,0.13,NA,0.02
Test Drive Unlimited 2,PlayStation 3,0.63,0.16,0.35,0.01,0.11
Ghostbusters: The Video Game,Xbox 360,0.62,0.43,0.14,NA,0.06
Nobunaga no Yabou: Haouden,SNES,0.62,0.30,NA,0.32,NA
Kinect Sports Rivals,Xbox One,0.62,0.30,0.25,0.02,0.05
Virtua Cop,SAT,0.62,NA,NA,0.62,NA
Metal Gear Solid 2: Substance,Xbox,0.62,0.38,0.22,NA,0.03
Tony Hawk's American Wasteland,Xbox,0.62,0.40,0.20,NA,0.03
WWF in Your House,PlayStation,0.62,0.35,0.24,NA,0.04
Family Feud: 2010 Edition,Wii,0.62,0.58,NA,NA,0.04
The Princess and the Frog,DS,0.62,0.41,0.16,NA,0.06
Wild ARMs 3,PlayStation 2,0.62,0.16,0.13,0.29,0.04
NBA ShootOut '97,PlayStation,0.62,0.35,0.24,NA,0.04
Madden NFL 07,GameCube,0.62,0.48,0.13,NA,0.02
LEGO The Hobbit,PlayStation 4,0.62,0.14,0.39,NA,0.10
Battlezone,2600,0.62,0.58,0.03,NA,0.01
Tiger Woods PGA Tour 2004,Xbox,0.62,0.47,0.13,NA,0.02
Donkey Kong Barrel Blast,Wii,0.62,0.19,0.26,0.11,0.06
Jak and Daxter: The Lost Frontier,PSP,0.62,0.18,0.28,0.00,0.16
Guitar Hero: Metallica,PlayStation 3,0.62,0.28,0.24,NA,0.10
World of Final Fantasy,PlayStation 4,0.62,0.24,0.21,0.09,0.09
Tak 2: The Staff of Dreams,PlayStation 2,0.62,0.30,0.24,NA,0.08
Warriors Orochi 3,PlayStation 3,0.62,NA,0.04,0.57,0.01
Red Steel 2,Wii,0.62,0.35,0.21,0.01,0.06
Disney Universe,PlayStation 3,0.62,0.30,0.23,NA,0.09
Viewtiful Joe,GameCube,0.62,0.38,0.10,0.12,0.02
Beetle Adventure Racing!,Nintendo 64,0.62,0.40,0.20,NA,0.02
The Urbz: Sims in the City,GBA,0.62,0.37,0.22,NA,0.03
Disney's 102 Dalmatians: Puppies to the Rescue,PlayStation,0.62,0.34,0.23,NA,0.04
South Park: The Fractured But Whole,Xbox One,0.62,0.40,0.17,NA,0.06
Strike Force Bowling,PlayStation 2,0.62,0.30,0.24,NA,0.08
DJ Hero 2,Wii,0.62,0.48,0.09,NA,0.04
The Black Eyed Peas Experience,Wii,0.62,0.37,0.19,NA,0.06
F1 2017,PlayStation 4,0.62,0.04,0.47,0.02,0.09
Bolt,DS,0.62,0.35,0.21,NA,0.06
Halloween,2600,0.62,0.58,0.03,NA,0.01
Start the Party!,PlayStation 3,0.62,0.07,0.41,NA,0.13
Bass Landing,PlayStation,0.62,0.21,0.14,0.23,0.04
Shellshock: Nam 67,PlayStation 2,0.62,0.30,0.24,NA,0.08
Mario's Picross,Game Boy Advance,0.62,NA,NA,0.62,NA
Pac-Man Player's Choice Bundle,GameCube,0.62,0.48,0.12,NA,0.02
Tousouchuu: Shijou Saikyou no Hunter-Tachi Kara Nigekire!,3DS,0.62,NA,NA,0.62,NA
Prince of Persia: The Forgotten Sands,Xbox 360,0.62,0.30,0.26,0.00,0.06
NHL 15,PlayStation 4,0.62,0.32,0.19,NA,0.11
Fighters MEGAMiX,SAT,0.62,NA,NA,0.62,NA
Bahamut Lagoon,SNES,0.62,NA,NA,0.62,NA
Tomb Raider III: Adventures of Lara Croft,PC,0.62,0.59,0.03,NA,NA
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,0.62,0.30,0.03,0.25,0.03
Battle of Giants: Dragons,DS,0.62,0.30,0.25,NA,0.06
Harry Potter and the Half-Blood Prince,DS,0.62,0.20,0.34,0.00,0.07
Dragon Quest Monsters: Joker 2 Professional,DS,0.62,NA,NA,0.62,NA
NFL Quarterback Club 99,Nintendo 64,0.62,0.59,0.02,NA,0.00
Super Robot Taisen α Gaiden,PlayStation,0.62,NA,NA,0.58,0.04
Pac-Man Party,Wii,0.62,0.47,0.08,0.01,0.05
Wall-E,Xbox 360,0.62,0.29,0.26,NA,0.07
Tiger Woods PGA Tour 12: The Masters,Xbox 360,0.62,0.40,0.16,NA,0.05
SpongeBob's Atlantis SquarePantis,Wii,0.62,0.56,0.00,NA,0.05
NBA 2K9,PlayStation 3,0.62,0.56,0.00,0.00,0.05
Dragon Ball Z: Ultimate Tenkaichi,PlayStation 3,0.62,0.27,0.18,0.09,0.07
Wet,PlayStation 3,0.62,0.22,0.27,0.01,0.11
Formula 1: Championship Edition,PlayStation 3,0.61,NA,0.57,0.04,0.00
WWE SmackDown vs. Raw 2010,PSP,0.61,0.25,0.23,NA,0.14
SingStar Singalong With Disney,PlayStation 2,0.61,NA,0.04,NA,0.57
Fire Emblem: Shadow Dragon,DS,0.61,0.29,0.03,0.27,0.03
Metroid Prime: Trilogy,Wii,0.61,0.42,0.05,NA,0.14
NFL Fever 2003,Xbox,0.61,0.46,0.13,NA,0.02
Vanquish,PlayStation 3,0.61,0.21,0.22,0.11,0.08
Samurai Warriors 2,PlayStation 2,0.61,0.02,0.02,0.57,0.01
Advance Wars: Days of Ruin,DS,0.61,0.43,0.13,NA,0.05
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,0.61,0.44,0.16,NA,0.01
Just Dance 2015,Xbox 360,0.61,0.42,0.13,NA,0.06
Robotech: Battlecry,PlayStation 2,0.61,0.30,0.23,NA,0.08
WWE 2K15,Xbox One,0.61,0.32,0.23,NA,0.05
Dora the Explorer: Super Spies,GBA,0.61,0.44,0.16,NA,0.01
Sacred 2: Fallen Angel,PlayStation 3,0.61,0.22,0.23,0.08,0.09
Dynasty Warriors 8,PlayStation 3,0.61,0.12,0.11,0.34,0.05
Skylanders SWAP Force,Wii U,0.61,0.39,0.16,NA,0.06
Texas Hold 'Em Poker,GBA,0.61,0.44,0.16,NA,0.01
Time Crisis 3,PlayStation 2,0.61,0.30,0.23,NA,0.08
Knowledge is Power,PlayStation 4,0.61,0.05,0.47,NA,0.09
Ganbaru Watashi no Kakei Diary,DS,0.61,NA,NA,0.61,NA
Rayman Legends,PlayStation 3,0.61,0.14,0.38,NA,0.09
Tony Hawk: RIDE,Xbox 360,0.61,0.46,0.10,NA,0.05
Small Soldiers,PlayStation,0.61,0.34,0.23,NA,0.04
Half-Life 2,Xbox,0.61,0.37,0.21,NA,0.03
Duke Nukem: Total Meltdown,PlayStation,0.61,0.34,0.23,NA,0.04
Cabela's Monster Buck Hunter,Wii,0.61,0.57,NA,NA,0.04
Major League Baseball 2K8,Xbox 360,0.61,0.56,NA,NA,0.05
New Play Control! Pikmin 2,Wii,0.61,0.11,0.13,0.34,0.02
Pro Evolution Soccer 2011,Xbox 360,0.61,0.09,0.44,NA,0.07
Major League Baseball 2K9,Xbox 360,0.61,0.56,NA,NA,0.05
World of Zoo,Wii,0.61,0.40,0.15,NA,0.05
Final Fantasy IV Advance,GBA,0.61,0.27,0.10,0.22,0.01
Madden NFL 2003,GBA,0.61,0.44,0.16,NA,0.01
EA Sports UFC 2,Xbox One,0.61,0.36,0.19,NA,0.06
Yakuza: Dead Souls,PlayStation 3,0.61,0.09,0.06,0.42,0.03
Petz: Dogz Pack,DS,0.61,0.56,NA,NA,0.05
Harry Potter and the Goblet of Fire,GBA,0.61,0.44,0.16,NA,0.01
Tomb Raider Chronicles,PlayStation,0.61,0.34,0.23,NA,0.04
Dragon Ball Z: Buu's Fury,GBA,0.61,0.44,0.16,NA,0.01
Madden NFL 2002,GameCube,0.61,0.47,0.12,NA,0.02
James Cameron's Avatar: The Game,PSP,0.61,0.22,0.25,NA,0.14
MySims Racing,DS,0.61,0.25,0.29,0.00,0.07
Tony Hawk: RIDE,PlayStation 3,0.61,0.38,0.15,NA,0.08
Spider-Man: Mysterio's Menace,GBA,0.61,0.43,0.16,NA,0.01
Madden NFL 2000,Nintendo 64,0.61,0.58,0.02,NA,0.00
Game & Watch Gallery 4,GBA,0.61,0.43,0.16,NA,0.01
Naruto: Ultimate Ninja (US sales),PlayStation 2,0.61,0.50,0.02,NA,0.08
New Carnival Games,Wii,0.61,0.34,0.21,NA,0.06
Wipeout: The Game,DS,0.61,0.56,NA,NA,0.04
Dragon Age: Inquisition,PlayStation 3,0.61,0.27,0.18,0.06,0.09
Tony Hawk's Underground,GBA,0.60,0.43,0.16,NA,0.01
Monster Trucks,GBA,0.60,0.43,0.16,NA,0.01
Shadow The Hedgehog,PlayStation 2,0.60,0.50,0.02,NA,0.08
Wave Race: Blue Storm,GameCube,0.60,0.40,0.10,0.09,0.02
Ben 10: Alien Force,PSP,0.60,0.36,0.14,NA,0.11
Backyard Wrestling: Don't Try This at Home,PlayStation 2,0.60,0.30,0.23,NA,0.08
Fight Night Round 2,Xbox,0.60,0.42,0.16,NA,0.02
MonHun Nikki: Poka Poka Ailu Mura,PSP,0.60,NA,NA,0.60,NA
NBA 2K8,PlayStation 2,0.60,0.50,0.02,NA,0.08
Okami,Wii,0.60,0.43,0.09,0.04,0.05
NBA 2K7,Xbox 360,0.60,0.55,0.00,NA,0.05
Suikoden,PlayStation,0.60,0.21,0.14,0.21,0.04
Muramasa: The Demon Blade,Wii,0.60,0.32,0.13,0.11,0.04
L.A. Noire,PlayStation 4,0.60,0.18,0.32,NA,0.10
Fighters Uncaged,Xbox 360,0.60,0.31,0.23,NA,0.06
Secret Agent Clank,PlayStation 2,0.60,0.13,0.18,NA,0.29
Shogun 2: Total War,PC,0.60,0.19,0.32,NA,0.08
Rayman Arena,PlayStation 2,0.60,0.29,0.23,NA,0.08
Call of Juarez: Bound in Blood,Xbox 360,0.60,0.30,0.24,0.00,0.06
Jaws Unleashed,PlayStation 2,0.60,0.50,0.02,NA,0.08
Puyo Puyo Sun,SAT,0.60,NA,NA,0.60,NA
Half-Life,PlayStation 2,0.60,0.29,0.23,NA,0.08
The Golden Compass,DS,0.60,0.28,0.25,NA,0.06
The Golden Compass,Wii,0.60,0.26,0.28,NA,0.07
Split/Second,Xbox 360,0.60,0.32,0.23,NA,0.06
International Superstar Soccer '98,Nintendo 64,0.60,0.06,0.30,0.21,0.03
International Superstar Soccer 64,Nintendo 64,0.60,0.09,0.26,0.23,0.02
Mickey's Speedway USA,Nintendo 64,0.60,0.37,0.08,0.14,0.01
NHL 17,Xbox One,0.60,0.52,0.01,NA,0.06
NASCAR Heat 2002,PlayStation 2,0.60,0.29,0.23,NA,0.08
Littlest Pet Shop: Garden,DS,0.60,0.31,0.23,NA,0.06
Transformers: The Game,Xbox 360,0.60,0.51,0.04,NA,0.05
From TV Animation One Piece: Grand Battle 2,PlayStation,0.60,NA,NA,0.56,0.04
BeatMania Append 3rdMix,PlayStation,0.60,NA,NA,0.56,0.04
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,0.60,0.37,0.16,0.01,0.06
New Play Control! Donkey Kong Jungle Beat,Wii,0.60,0.23,0.17,0.14,0.05
Xena: Warrior Princess,PlayStation,0.60,0.33,0.23,NA,0.04
Just Dance 2016,Wii U,0.60,0.29,0.25,NA,0.05
Tales of Zesteria,PlayStation 3,0.60,0.07,0.07,0.42,0.03
SimCity DS,DS,0.60,0.33,0.03,0.21,0.03
Front Mission,SNES,0.60,NA,NA,0.60,NA
Gravity Rush,PlayStation Vita,0.60,0.21,0.20,0.09,0.10
Major League Baseball 2K7,PlayStation 2,0.60,0.29,0.23,NA,0.08
Dai-2-Ji Super Robot Taisen α,PlayStation 2,0.60,NA,NA,0.60,NA
PGR3 - Project Gotham Racing 3,Xbox 360,0.60,0.49,0.03,0.03,0.05
Littlest Pet Shop: Jungle,DS,0.60,0.34,0.20,NA,0.06
NHL 11,PlayStation 3,0.59,0.40,0.13,NA,0.07
Hot Wheels: Stunt Track Challenge,PlayStation 2,0.59,0.29,0.23,NA,0.08
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PlayStation 2,0.59,NA,NA,0.59,NA
Monopoly,Xbox 360,0.59,0.34,0.20,NA,0.06
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PlayStation,0.59,NA,NA,0.56,0.04
Disney Sing It! High School Musical 3: Senior Year,Wii,0.59,0.32,0.23,NA,0.04
CyberTiger,PlayStation,0.59,0.33,0.22,NA,0.04
Jampack Fall 2001,PlayStation,0.59,0.33,0.22,NA,0.04
MLB 11: The Show,PlayStation 3,0.59,0.55,NA,NA,0.05
Medal of Honor: Frontline,GameCube,0.59,0.46,0.12,NA,0.02
NFL Blitz 2001,PlayStation,0.59,0.33,0.22,NA,0.04
LEGO Indiana Jones 2: The Adventure Continues,PSP,0.59,0.21,0.24,NA,0.14
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PlayStation,0.59,NA,NA,0.55,0.04
Waialae Country Club: True Golf Classics,Nintendo 64,0.59,0.48,0.11,NA,NA
Rock Band 2,PlayStation 2,0.59,0.29,0.23,NA,0.08
Final Fantasy Anniversary Edition,PSP,0.59,0.39,0.02,0.13,0.05
Yakuza 5,PlayStation 3,0.59,NA,NA,0.59,NA
Transformers: War for Cybertron,Xbox 360,0.59,0.39,0.15,NA,0.05
Dead Space,PC,0.59,NA,0.54,NA,0.06
BurgerTime,2600,0.59,0.55,0.03,NA,0.01
Metal Gear Solid V: Ground Zeroes,PlayStation 3,0.59,0.13,0.13,0.28,0.05
Kane & Lynch 2: Dog Days,PlayStation 3,0.59,0.17,0.28,0.05,0.10
2002 FIFA World Cup,PlayStation 2,0.59,0.21,0.17,0.16,0.06
MVP Baseball 2004,Xbox,0.59,0.44,0.13,NA,0.02
Crash Bandicoot: The Wrath of Cortex,GameCube,0.59,0.46,0.12,NA,0.02
Skylanders: SuperChargers,Wii U,0.59,0.32,0.22,NA,0.05
Smurf: Rescue In Gargamel's Castle,2600,0.59,0.55,0.03,NA,0.01
Beijing 2008,Xbox 360,0.59,0.15,0.38,NA,0.06
Pokémon Trozei!,DS,0.59,0.25,0.00,0.31,0.02
Titanfall,PC,0.59,0.24,0.31,NA,0.05
Assassin's Creed: Brotherhood,PC,0.59,0.16,0.34,NA,0.09
Extreme-G,Nintendo 64,0.59,0.47,0.11,NA,0.01
Ready 2 Rumble Boxing,Nintendo 64,0.59,0.47,0.11,NA,0.01
Spelling Challenges and more!,DS,0.59,0.54,0.00,NA,0.04
Killzone 2: DLC Bundle Pack,PSN,0.59,0.23,0.10,0.23,0.03
Dead or Alive Xtreme Beach Volleyball,Xbox,0.59,0.36,0.08,0.14,0.02
Call of Duty: Black Ops,DS,0.59,0.50,0.04,NA,0.04
Disney Sing It: Family Hits,Wii,0.59,0.38,0.17,NA,0.05
Tales of Rebirth,PlayStation 2,0.59,NA,NA,0.59,NA
XCOM: Enemy Unknown,PlayStation 3,0.59,0.25,0.24,NA,0.10
WarioWare D.I.Y.,DS,0.59,0.17,0.18,0.20,0.04
Shin Megami Tensei IV,3DS,0.59,0.28,0.00,0.27,0.03
Silent Hill: Shattered Memories,PlayStation 2,0.59,0.13,0.22,0.01,0.23
The Fight: Lights Out,PlayStation 3,0.59,0.29,0.21,NA,0.09
Madden NFL 06,Xbox 360,0.59,0.54,0.00,0.01,0.03
Asphalt: Urban GT,DS,0.59,0.31,0.22,NA,0.06
Blur,Xbox 360,0.59,0.25,0.27,0.00,0.06
Barbie: Race & Ride,PlayStation,0.59,0.33,0.22,NA,0.04
