title,publisher,developer,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Call of Duty: Ghosts,Activision,Infinity Ward,Wii U,0.35,0.22,0.09,0.01,0.03
Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,PlayStation 4,10.33,4.49,3.93,0.21,1.70
Call of Duty: Ghosts,Activision,Infinity Ward,Xbox 360,10.41,6.76,2.64,0.04,0.98
Call of Duty: Ghosts,Activision,Infinity Ward,PlayStation 3,10.13,4.11,4.01,0.39,1.62
Call of Duty: Ghosts,Activision,Infinity Ward,PlayStation 4,4.17,1.79,1.64,0.05,0.69
Call of Duty: Ghosts,Activision,Infinity Ward,Wii U,0.35,0.22,0.09,0.01,0.03
Halo: Reach,Microsoft Game Studios,Bungie,Xbox 360,9.97,7.08,2.01,0.08,0.80
Halo 4,Microsoft Studios,343 Industries,Xbox 360,9.96,6.72,2.36,0.04,0.83
Mario Kart 64,Nintendo,Nintendo EAD,Nintendo 64,9.87,5.55,1.94,2.23,0.15
Minecraft,Microsoft Studios,Mojang,Xbox 360,9.82,5.96,2.94,0.02,0.90
Minecraft,Microsoft Studios,Mojang,PlayStation 4,6.33,1.89,3.13,0.35,0.96
Minecraft,Microsoft Studios,Mojang,PlayStation Vita,2.47,0.22,0.73,1.25,0.27
Minecraft,Microsoft Studios,Mojang,Switch,1.89,0.69,0.56,0.52,0.12
Minecraft,Microsoft Studios,Mojang,Wii U,1.47,0.50,0.49,0.38,0.09
Final Fantasy VII,Sony Computer Entertainment,SquareSoft,PlayStation,9.72,3.01,2.47,3.28,0.96
Gran Turismo 2,Sony Computer Entertainment,Polyphony Digital,PlayStation,9.49,3.88,3.42,1.69,0.50
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo EPD,Switch,9.46,4.54,2.94,1.26,0.73
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo EPD,Wii U,1.34,0.66,0.42,0.15,0.11
Just Dance 2,Ubisoft,Ubisoft Paris,Wii,9.45,5.80,2.86,0.01,0.77
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,Xbox 360,9.41,5.98,2.39,0.13,0.91
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,PlayStation 3,6.72,3.13,2.27,0.28,1.04
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,DS,1.05,0.95,0.02,0.01,0.08
Call of Duty: Black Ops IIII,Activision,Treyarch,PlayStation 4,9.32,4.05,3.28,0.50,1.49
Donkey Kong Country,Nintendo,Rare Ltd.,SNES,9.30,4.36,1.71,3.00,0.23
Donkey Kong Country,Nintendo,Rare Ltd.,GBC,2.19,1.04,0.72,0.30,0.13
Donkey Kong Country,Nintendo,Rare Ltd.,Game Boy Advance,2.04,1.20,0.48,0.29,0.07
FIFA 19,Electronic Arts,EA Sports,PlayStation 4,9.15,0.84,6.87,0.10,1.34
FIFA 19,Electronic Arts,EA Sports,Switch,0.75,0.18,0.47,0.06,0.05
Super Smash Bros. Ultimate,Nintendo,Bandai Namco Games,Switch,8.95,4.22,1.72,2.41,0.61
Mario Party DS,Nintendo,Hudson Soft,DS,8.93,4.40,1.86,1.98,0.69
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,Xbox 360,8.88,5.10,2.83,0.10,0.85
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,PlayStation 3,6.49,2.57,2.68,0.25,0.99
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,Switch,1.15,0.67,0.32,0.06,0.10
Super Mario Kart,Nintendo,Nintendo EAD,SNES,8.76,3.54,1.24,3.81,0.18
Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,PlayStation 4,8.76,3.64,3.39,0.32,1.41
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 3,20.32,6.37,9.85,0.99,3.12
Grand Theft Auto V,Rockstar Games,Rockstar North,PlayStation 4,19.39,6.06,9.71,0.60,3.02
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox 360,15.86,9.06,5.33,0.06,1.42
Grand Theft Auto V,Rockstar Games,Rockstar North,Xbox One,8.72,4.70,3.25,0.01,0.76
Halo 2,Microsoft Game Studios,Bungie Studios,Xbox,8.49,6.82,1.53,0.05,0.08
Call of Duty: Infinite Warfare,Activision,Infinity Ward,PlayStation 4,8.48,3.11,3.83,0.19,1.36
Fallout 4,Bethesda Softworks,Bethesda Game Studios,PlayStation 4,8.48,2.91,3.97,0.27,1.34
Fallout 4,Bethesda Softworks,Bethesda Game Studios,Xbox One,5.03,2.94,1.62,0.02,0.45
Wii Party,Nintendo,"Nd Cube Co., Ltd.",Wii,8.41,1.75,3.51,2.49,0.66
Super Smash Bros. for 3DS,Nintendo,Bandai Namco Games,3DS,8.32,3.73,1.50,2.55,0.54
Mario Party 8,Nintendo,Hudson Soft,Wii,8.30,3.74,2.27,1.58,0.70
FIFA 16,EA Sports,EA Canada,PlayStation 4,8.22,1.15,5.77,0.07,1.23
FIFA 16,EA Sports,EA Canada,PlayStation 3,2.55,0.43,1.68,0.05,0.38
Pokémon Black 2 and White 2,Nintendo,Game Freak,DS,8.16,2.79,1.79,3.16,0.43
GoldenEye 007,Nintendo,Rare Ltd.,Nintendo 64,8.09,5.80,2.01,0.13,0.15
GoldenEye 007,Nintendo,Rare Ltd.,Wii,1.36,0.76,0.60,0.00,NA
Final Fantasy X,Square,SquareSoft,PlayStation 2,8.05,2.91,2.07,2.73,0.33
Star Wars Battlefront (2015),Electronic Arts,EA DICE,PlayStation 4,8.03,3.31,3.19,0.23,1.30
Star Wars Battlefront (2015),Electronic Arts,EA DICE,Xbox One,4.15,2.49,1.26,0.02,0.38
FIFA 13,EA Sports,EA Canada,PlayStation 3,8.01,1.07,5.13,0.13,1.68
FIFA 13,EA Sports,EA Canada,Xbox 360,5.11,1.10,3.49,0.03,0.50
FIFA 13,EA Sports,EA Canada,PSP,0.38,0.06,0.22,0.02,0.08
Mario & Sonic at the Olympic Games,Sega,Sega,Wii,8.00,2.57,3.87,0.66,0.90
Mario & Sonic at the Olympic Games,Sega,Sega,DS,5.10,1.63,2.46,0.44,0.57
The Sims 3,Electronic Arts,EA Redwood Shores,Xbox 360,2.31,1.28,0.82,0.00,0.20
The Sims 3,Electronic Arts,EA Redwood Shores,PlayStation 3,2.03,0.73,0.96,0.02,0.31
The Sims 3,Electronic Arts,EA Redwood Shores,3DS,0.77,0.30,0.38,0.03,0.07
Final Fantasy VIII,Square EA,SquareSoft,PlayStation,7.86,2.28,1.72,3.63,0.23
Pac-Man,Atari,Atari,NES,1.22,0.27,0.08,0.85,0.02
Pokémon Platinum Version,Nintendo,Game Freak,DS,7.72,2.76,1.73,2.69,0.54
Grand Theft Auto: Liberty City Stories,Rockstar Games,Rockstar Leeds,PSP,7.72,2.90,2.83,0.24,1.74
Grand Theft Auto: Liberty City Stories,Rockstar Games,Rockstar Leeds,PlayStation 2,3.54,1.56,1.40,0.07,0.50
Mario Kart 8,Nintendo,Nintendo,Wii U,7.69,3.22,2.55,1.39,0.54
The Legend of Zelda: Ocarina of Time,Nintendo,Nintendo EAD,Nintendo 64,7.60,4.10,1.89,1.45,0.16
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,Naughty Dog,PlayStation,7.58,3.78,2.17,1.31,0.31
Super Mario Galaxy 2,Nintendo,Nintendo EAD Tokyo,Wii,7.57,3.59,2.37,0.98,0.62
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,PlayStation 4,7.53,2.84,3.34,0.14,1.22
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,Xbox One,5.22,3.25,1.49,0.01,0.48
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,Xbox 360,4.34,2.81,1.13,0.00,0.41
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,PlayStation 3,4.27,1.59,1.81,0.20,0.67
Super Mario Bros. 2,Nintendo,Nintendo EAD,NES,7.46,5.39,1.18,0.70,0.19
Call of Duty: Black Ops 3,Activision,Treyarch,PlayStation 4,15.09,6.18,6.05,0.41,2.44
Call of Duty: Black Ops 3,Activision,Treyarch,Xbox One,7.37,4.63,2.04,0.02,0.68
Call of Duty: Black Ops 3,Activision,Treyarch,PlayStation 3,1.95,0.65,0.92,0.07,0.30
Battlefield 3,Electronic Arts,Dice,Xbox 360,7.35,4.47,2.12,0.06,0.69
Battlefield 3,Electronic Arts,Dice,PlayStation 3,7.21,2.86,2.94,0.35,1.07
Battlefield 1,Electronic Arts,EA DICE,PlayStation 4,7.26,2.20,3.65,0.29,1.12
Battlefield 1,Electronic Arts,EA DICE,Xbox One,5.13,3.37,1.26,0.02,0.48
Battlefield 3,Electronic Arts,Dice,Xbox 360,7.35,4.47,2.12,0.06,0.69
Battlefield 3,Electronic Arts,Dice,PlayStation 3,7.21,2.86,2.94,0.35,1.07
Need for Speed Underground,Electronic Arts,EA Black Box,PlayStation 2,7.20,3.27,2.83,0.08,1.02
Need for Speed Underground,Electronic Arts,EA Black Box,GameCube,1.21,0.69,0.48,0.01,0.03
The Legend of Zelda: Twilight Princess,Nintendo,Nintendo EAD,Wii,7.18,3.74,2.16,0.60,0.69
The Legend of Zelda: Twilight Princess,Nintendo,Nintendo EAD,GameCube,1.59,1.15,0.36,0.04,0.04
Tekken 3,Namco,Namco,PlayStation,7.16,3.27,2.22,1.40,0.29
Pokémon: Ultra Sun and Ultra Moon,Nintendo,Game Freak,3DS,7.15,2.46,1.74,2.55,0.40
Crash Bandicoot 3: Warped,Sony Computer Entertainment,Naughty Dog,PlayStation,7.13,3.68,1.75,1.42,0.28
Super Smash Bros. Melee,Nintendo,HAL Laboratory,GameCube,7.07,4.41,1.04,1.39,0.22
Splatoon 2,Nintendo,Nintendo EPD,Switch,7.04,1.90,1.80,3.01,0.34
Mario Kart: Double Dash!!,Nintendo,Nintendo EAD,GameCube,6.95,4.12,1.77,0.87,0.19
Need for Speed Underground 2,Electronic Arts,EA Black Box,PlayStation 2,6.90,2.71,3.02,0.08,1.09
Need for Speed Underground 2,Electronic Arts,EA Black Box,GameCube,1.14,0.70,0.39,0.01,0.03
Uncharted 3: Drake's Deception,Sony Computer Entertainment,Naughty Dog,PlayStation 3,6.84,2.77,2.81,0.19,1.06
Medal of Honor: Frontline,Electronic Arts,EA Los Angeles,PlayStation 2,6.83,2.93,2.75,0.17,0.99
Crash Bandicoot,Sony Computer Entertainment,Naughty Dog,PlayStation,6.82,3.23,2.35,0.94,0.30
The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,PlayStation 4,6.77,2.70,2.86,0.11,1.10
Gears of War 2,Microsoft Game Studios,Epic Games,Xbox 360,6.75,4.15,1.91,0.06,0.64
Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,PlayStation 3,6.74,3.28,2.22,0.21,1.02
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,Xbox 360,9.41,5.98,2.39,0.13,0.91
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,PlayStation 3,6.72,3.13,2.27,0.28,1.04
Call of Duty 4: Modern Warfare,Activision,Infinity Ward,DS,1.05,0.95,0.02,0.01,0.08
FIFA Soccer 12,EA Sports,EA Canada,PlayStation 3,6.65,0.84,4.33,0.11,1.37
FIFA Soccer 12,EA Sports,EA Canada,Xbox 360,4.18,0.85,2.79,0.02,0.52
FIFA Soccer 12,EA Sports,EA Canada,PSP,0.53,0.12,0.26,0.02,0.13
Big Brain Academy,Nintendo,Nintendo EAD,DS,6.63,1.66,2.75,1.60,0.62
FIFA 14,EA Sports,EA Canada,PlayStation 3,6.61,0.79,4.77,0.07,0.98
FIFA 14,EA Sports,EA Canada,Xbox 360,4.15,0.94,2.92,0.01,0.29
FIFA 14,EA Sports,EA Canada,PlayStation 4,3.43,0.62,2.18,0.12,0.51
FIFA 14,EA Sports,EA Canada,PlayStation Vita,0.50,0.08,0.30,0.01,0.11
Red Dead Redemption,Rockstar Games,Rockstar San Diego,PlayStation 3,6.57,2.82,2.58,0.17,1.00
Red Dead Redemption,Rockstar Games,Rockstar San Diego,Xbox 360,6.50,3.77,2.03,0.09,0.60
The Legend of Zelda,Nintendo,Nintendo EAD,NES,6.51,3.74,0.93,1.69,0.14
Donkey Kong Country Returns,Nintendo,Retro Studios,Wii,6.50,3.19,1.81,1.03,0.47
Assassin's Creed III,Ubisoft,Ubisoft Montreal,PlayStation 3,6.50,2.65,2.61,0.16,1.08
Assassin's Creed III,Ubisoft,Ubisoft Montreal,Xbox 360,5.31,3.13,1.71,0.03,0.45
Red Dead Redemption,Rockstar Games,Rockstar San Diego,PlayStation 3,6.57,2.82,2.58,0.17,1.00
Red Dead Redemption,Rockstar Games,Rockstar San Diego,Xbox 360,6.50,3.77,2.03,0.09,0.60
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,Xbox 360,8.88,5.10,2.83,0.10,0.85
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,PlayStation 3,6.49,2.57,2.68,0.25,0.99
The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,Switch,1.15,0.67,0.32,0.06,0.10
Halo: Combat Evolved,Microsoft,Bungie Studios,Xbox,6.43,4.98,1.30,0.08,0.07
Pokémon Emerald Version,Nintendo,Game Freak,Game Boy Advance,6.41,2.57,1.58,2.06,0.21
Kingdom Hearts,Square EA,SquareSoft,PlayStation 2,6.40,3.64,1.20,1.49,0.07
Pokémon Crystal Version,Nintendo,Game Freak,GBC,6.39,2.55,1.56,1.29,0.99
Halo 3: ODST,Microsoft Game Studios,Bungie,Xbox 360,6.35,4.34,1.34,0.06,0.61
Minecraft,Sony Computer Entertainment,Mojang,Xbox 360,9.82,5.96,2.94,0.02,0.90
Minecraft,Sony Computer Entertainment,Mojang,PlayStation 4,6.33,1.89,3.13,0.35,0.96
