title,link,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Paper Mario: The Thousand-Year Door,/game/gamecube/paper-mario-the-thousand-year-door,11-Oct-04,87,9.1,Intelligent Systems,Nintendo,"Role-Playing, Console-style RPG",E,GameCube,2.25,1.48,0.25,0.46,0.06
DJ Hero,/game/wii/dj-hero,27-Oct-09,87,7.4,Exient Entertainment,Activision,"Action, Miscellaneous, Rhythm, Music, Music",T,Wii,1.09,0.59,0.39,N/A,0.11
Tomb Raider,/game/playstation-3/tomb-raider,5-Mar-13,87,8.3,"Crystal Dynamics, Nixxes Software",Square Enix,"Action Adventure, Modern, General, Modern, Linear",M,PlayStation 3,4.63,2.29,1.97,0.13,0.24
Mario Kart: Double Dash!!,/game/gamecube/mario-kart-double-dash!!,17-Nov-03,87,8.6,Nintendo,Nintendo,"Driving, Racing, Kart",E,GameCube,6.95,4.12,1.77,0.87,0.19
Rayman Legends,/game/playstation-vita/rayman-legends,3-Sep-13,87,8.4,Ubisoft Montpellier,Ubisoft,"Action, Platformer, Platformer, 2D, 2D",E10+,PlayStation Vita,1.5,0.22,1.05,N/A,0.23
World Series Baseball 2K3,/game/playstation-2/world-series-baseball-2k3,17-Mar-03,87,8.6,Blue Shift,Sega,"Sports, Traditional, Baseball, Sim",E,PlayStation 2,0.25,0.12,0.10,N/A,0.03
Metal Gear Solid 2: Substance,/game/playstation-2/metal-gear-solid-2-substance,3-Mar-03,87,8.8,KCEJ,Konami,"Action Adventure, Modern",M,PlayStation 2,0.62,0.38,0.22,N/A,0.03
NHL 2002,/game/pc/nhl-2002,17-Sep-01,87,7.6,EA Sports,EA Sports,"Sports, Traditional, Team, Ice Hockey, Sim, Sim",E,PC,1.2,0.59,0.46,N/A,0.15
Forza Motorsport 6,/game/xbox-one/forza-motorsport-6,15-Sep-15,87,7.7,Turn 10,Microsoft Game Studios,"Driving, GT / Street, Racing, Simulation, Automobile",E,Xbox One,2.02,0.90,0.92,0.04,0.16
Donkey Kong Country Returns,/game/wii/donkey-kong-country-returns,21-Nov-10,87,8.6,Retro Studios,Nintendo,"Action, Adventure, General, Platformer, Platformer, 2D, 2D",E,Wii,6.5,3.19,1.81,1.03,0.47
Bully,/game/playstation-2/bully,17-Oct-06,87,8.9,Rockstar Vancouver,Rockstar Games,"Action Adventure, Modern",T,PlayStation 2,0.94,0.75,0.03,0.04,0.12
Call of Duty: Black Ops,/game/xbox-360/call-of-duty-black-ops,9-Nov-10,87,6.6,Treyarch,Activision,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",M,Xbox 360,14.74,9.76,3.73,0.11,1.14
The Witness,/game/pc/the-witness,26-Jan-16,87,6.9,"Thekla, Inc","Thekla, Inc","Miscellaneous, Puzzle, General, General, Puzzle, Puzzle, Adventure, 3D, First-Person",E,PC,0,N/A,0.00,N/A,0.00
Tearaway,/game/playstation-vita/tearaway,22-Nov-13,87,8.9,Media Molecule,SCEA,"General, Adventure, General",E,PlayStation Vita,0.65,0.10,0.41,N/A,0.15
Rocket League,/game/xbox-one/rocket-league,17-Feb-16,87,8.1,"Psyonix, Panic Button",505 Games,"Sports, Team, Soccer, Arcade",E,Xbox One,2.02,0.37,1.34,N/A,0.31
Metal Gear Solid: Portable Ops,/game/psp/metal-gear-solid-portable-ops,5-Dec-06,87,8.1,Kojima Productions,Konami,"Action Adventure, Modern, General, Modern",M,PSP,1.19,0.38,0.35,0.38,0.09
Zack & Wiki: Quest for Barbaros' Treasure,/game/wii/zack-wiki-quest-for-barbaros-treasure,23-Oct-07,87,8.6,Capcom,Capcom,"Adventure, General, General",E,Wii,0.42,0.18,0.16,0.03,0.04
Monster Boy and the Cursed Kingdom,/game/playstation-4/monster-boy-and-the-cursed-kingdom,4-Dec-18,87,8,FDG Entertainment,FDG Entertainment,"Action Adventure, General",E10+,PlayStation 4,0.04,0.03,N/A,N/A,0.00
MLB 13: The Show,/game/playstation-3/mlb-13-the-show,5-Mar-13,87,7.9,SCEA San Diego Studios,SCEA,"Sports, Traditional, Team, Baseball, Sim, Sim",E,PlayStation 3,0.84,0.68,N/A,N/A,0.16
MechAssault,/game/xbox/mechassault,11-Nov-02,87,8,Day 1 Studios,Microsoft Game Studios,"Simulation, Sci-Fi, Mech",T,Xbox,1.13,1.01,0.10,N/A,0.03
NFL 2K2,/game/xbox/nfl-2k2,9-Jan-02,87,9,Visual Concepts,Sega,"Sports, Traditional, Football, Sim",E,Xbox,0.89,0.44,0.34,N/A,0.11
FIFA 14,/game/playstation-4/fifa-14,12-Nov-13,87,6.2,EA Canada,EA Sports,"Sports, Traditional, Team, Soccer, Sim, Sim",E,PlayStation 4,6.61,0.79,4.77,0.07,0.98
Animal Crossing,/game/gamecube/animal-crossing,15-Sep-02,87,8.8,Nintendo,Nintendo,"Miscellaneous, Virtual Life",E,GameCube,3.15,1.92,0.16,0.99,0.09
BlazBlue: Continuum Shift,/game/playstation-3/blazblue-continuum-shift,27-Jul-10,87,8.1,Arc System Works,Aksys Games,"Action, Fighting, Fighting, 2D, 2D",T,PlayStation 3,0.41,0.21,0.08,0.09,0.04
Fight Night Round 4,/game/xbox-360/fight-night-round-4,23-Jun-09,87,8.1,EA Canada,EA Sports,"Sports, Traditional, Individual, Boxing, Boxing, Combat, Boxing / Martial Arts",T,Xbox 360,1.52,0.92,0.40,N/A,0.20
The Legend of Zelda: Spirit Tracks,/game/ds/the-legend-of-zelda-spirit-tracks,7-Dec-09,87,8,Nintendo,Nintendo,"Action Adventure, Fantasy, Fantasy, Open-World",E10+,DS,3.32,1.40,0.92,0.74,0.26
Dead Space 2,/game/pc/dead-space-2,25-Jan-11,87,8.4,Visceral Games,Electronic Arts,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M,PC,1.52,0.94,0.44,N/A,0.13
DiRT 2,/game/playstation-3/dirt-2,8-Sep-09,87,8.2,Codemasters,Codemasters,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",T,PlayStation 3,0.99,0.27,0.53,0.00,0.19
Disgaea: Afternoon of Darkness,/game/psp/disgaea-afternoon-of-darkness,30-Oct-07,87,8.7,Nippon Ichi Software,NIS America,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics",T,PSP,0.24,0.15,0.02,0.04,0.02
NCAA Football 07,/game/playstation-2/ncaa-football-07,18-Jul-06,87,8.7,EA Sports,EA Sports,"Sports, Traditional, Football, Sim",E,PlayStation 2,1.7,1.41,0.05,N/A,0.23
Dragon Age: Origins,/game/playstation-3/dragon-age-origins,3-Nov-09,87,8,BioWare,Electronic Arts,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",M,PlayStation 3,2.56,1.76,0.55,0.03,0.22
Beyond Good & Evil,/game/xbox/beyond-good-evil,2-Dec-03,87,8.4,Ubisoft Milan,Ubisoft,"Action Adventure, Fantasy",T,Xbox,0.33,0.16,0.13,N/A,0.04
Little King's Story,/game/wii/little-kings-story,21-Jul-09,87,8.7,Cing,XSEED Games,"Strategy, Real-Time, Breeding/Constructing, Fantasy, General, Fantasy",T,Wii,0.29,0.14,0.11,0.02,0.02
Pro Evolution Soccer 2017,/game/xbox-one/pro-evolution-soccer-2017,13-Sep-16,87,5.9,Konami,Konami,"Sports, Team, Soccer, Sim",E,Xbox One,0.75,0.08,0.41,0.18,0.09
Pro Evolution Soccer 2016,/game/playstation-4/pro-evolution-soccer-2016,15-Sep-15,87,7.2,Konami,Konami,"Sports, Team, Soccer, Sim",E,PlayStation 4,0.82,0.14,0.43,0.14,0.10
Titanfall 2,/game/xbox-one/titanfall-2,28-Oct-16,87,8.3,Respawn Entertainment,Electronic Arts,"Action, Shooter, First-Person, Arcade",M,Xbox One,1.72,0.75,0.62,0.06,0.28
NASCAR 2005: Chase for the Cup,/game/playstation-2/nascar-2005-chase-for-the-cup,31-Aug-04,87,8.3,EA Tiburon,EA Games,"Driving, Racing, Stock Car",E,PlayStation 2,1.41,0.69,0.54,N/A,0.18
Metal Gear Solid 2: Substance,/game/xbox/metal-gear-solid-2-substance,4-Nov-02,87,8.3,KCEJ,Konami,"Action Adventure, Modern",M,Xbox,0.62,0.38,0.22,N/A,0.03
NBA 2K3,/game/xbox/nba-2k3,9-Oct-02,87,7.9,Visual Concepts,Sega,"Sports, Traditional, Basketball, Sim",E,Xbox,1.05,0.51,0.40,N/A,0.13
MVP Baseball 2005,/game/playstation-2/mvp-baseball-2005,22-Feb-05,87,8.7,EA Sports,EA Sports,"Sports, Traditional, Baseball, Sim",E,PlayStation 2,1.54,1.26,0.07,N/A,0.21
Rayman Origins,/game/playstation-3/rayman-origins,15-Nov-11,87,8.4,UBlart Montpellier,Ubisoft,"Action, Action Adventure, Adventure, General, Platformer, Fantasy, Platformer, 2D, 2D",E10+,PlayStation 3,1,0.33,0.50,0.01,0.16
MLB 12: The Show,/game/playstation-3/mlb-12-the-show,6-Mar-12,87,7.9,SCEA San Diego Studios,SCEA,"Sports, Traditional, Team, Baseball, Sim, Sim",E,PlayStation 3,0.93,0.86,N/A,N/A,0.07
Wolfenstein II: The New Colossus,/game/playstation-4/wolfenstein-ii-the-new-colossus,27-Oct-17,87,7.3,MachineGames,Bethesda Softworks,"Action, Shooter, First-Person, Arcade",M,PlayStation 4,1.36,0.55,0.58,0.01,0.22
Axiom Verge,/game/switch/axiom-verge,5-Oct-17,87,8.5,Tom Happ,Tom Happ,"Action Adventure, General",E10+,Switch,0.17,0.12,0.03,N/A,0.02
Divinity: Original Sin,/game/pc/divinity-original-sin,17-Jan-14,87,8.7,Larian Studios Games,Larian Studios Games,"Action RPG, Role-Playing, Action RPG, Western-Style",M,PC,0.34,0.13,0.13,0.04,0.05
Company of Heroes: Opposing Fronts,/game/pc/company-of-heroes-opposing-fronts,24-Sep-07,87,8.6,Relic,THQ,"Strategy, Real-Time, Military, General, Military",M,PC,0.04,0.01,0.03,N/A,0.00
Destiny 2,/game/xbox-one/destiny-2,6-Sep-17,87,4.4,Bungie,Activision,"Action, Shooter, First-Person, Arcade",T,Xbox One,4.14,1.92,1.44,0.10,0.69
Owlboy,/game/switch/owlboy,13-Feb-18,87,7.4,BlitWorks,D-Pad Studio,"Action Adventure, General",E10+,Switch,0.05,0.03,0.01,N/A,0.01
Psychonauts,/game/pc/psychonauts,19-Apr-05,87,8.8,Double Fine Productions,Majesco Games,"Action, Platformer, Platformer, 3D, 3D",T,PC,0.12,0.09,0.03,N/A,0.00
DiRT 2,/game/xbox-360/dirt-2,8-Sep-09,87,8.1,Codemasters,Codemasters,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",T,Xbox 360,0.99,0.27,0.53,0.00,0.19
Gears of War,/game/pc/gears-of-war,6-Nov-07,87,7.7,Epic Games,Microsoft Game Studios,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M,PC,6.09,3.54,1.88,0.07,0.60
Rayman Origins,/game/xbox-360/rayman-origins,15-Nov-11,87,8.2,UBlart Montpellier,Ubisoft,"Action, Action Adventure, Adventure, General, Platformer, Fantasy, Platformer, 2D, 2D",E10+,Xbox 360,1,0.33,0.50,0.01,0.16
Super Monkey Ball,/game/gamecube/super-monkey-ball,17-Nov-01,87,8.1,Amusement Vision,Sega,"Miscellaneous, Party",E,GameCube,1.46,0.95,0.37,0.10,0.04
Dark Souls II: Scholar of the First Sin,/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin,7-Apr-15,87,7.9,From Software,Bandai Namco Games,"Role-Playing, Action RPG",T,PlayStation 4,0.69,0.27,0.23,0.09,0.10
Resistance 2,/game/playstation-3/resistance-2,4-Nov-08,87,6.2,Insomniac Games,SCEA,"Action, Shooter, Shooter, First-Person, Sci-Fi, Modern, Sci-Fi, Arcade",M,PlayStation 3,2.47,1.15,0.84,0.10,0.38
Diablo III,/game/xbox-360/diablo-iii,3-Sep-13,87,6.7,Blizzard Entertainment,Blizzard Entertainment,"Role-Playing, Action RPG, Action RPG",M,Xbox 360,5.26,2.50,2.23,N/A,0.53
Persona 4 Golden,/game/pc/persona-4-golden,13-Jun-20,87,8.8,Atlus,Sega,"Role-Playing, Japanese-Style",M,PC,1.25,0.37,0.29,0.39,0.21
XCOM 2,/game/xbox-one/xcom-2,27-Sep-16,87,7.6,Firaxis Games,2K Games,"Strategy, Turn-Based, General, Tactics",T,Xbox One,0.31,0.12,0.16,N/A,0.02
NBA 2K16,/game/playstation-4/nba-2k16,25-Sep-15,87,6.7,Visual Concepts,Take-Two Interactive,"Action, General, Sports, Team, Basketball, Sim",E10+,PlayStation 4,3.98,2.56,0.66,0.05,0.71
Pikmin 3,/game/wii-u/pikmin-3,4-Aug-13,87,8.7,Nintendo,Nintendo,"Strategy, Real-Time, Fantasy, General, Fantasy",E10+,Wii U,1.23,0.47,0.38,0.29,0.08
NHL 2004,/game/pc/nhl-2004,22-Sep-03,87,7.5,EA Sports,EA Sports,"Sports, Traditional, Team, Ice Hockey, Sim, Sim",E,PC,0.97,0.47,0.37,N/A,0.12
SSX Tricky,/game/gamecube/ssx-tricky,2-Dec-01,87,8.5,EA Sports Big,EA Sports Big,"Sports, Alternative, Snowboarding",E,GameCube,1.73,0.85,0.66,N/A,0.22
Driver,/game/playstation/driver,30-Jun-99,87,8,Reflections Interactive,GT Interactive,"Driving, Mission-based",T,PlayStation,6.27,3.11,2.80,0.02,0.33
Fight Night Round 2,/game/gamecube/fight-night-round-2,28-Feb-05,87,8.2,EA Sports,EA Sports,"Sports, Traditional, Boxing",T,GameCube,0.87,0.72,0.03,N/A,0.12
Puzzle Quest: Challenge of the Warlords,/game/xbox-360/puzzle-quest-challenge-of-the-warlords,10-Oct-07,87,8.3,Infinite Interactive,Microsoft,"Miscellaneous, Puzzle, Puzzle, Puzzle, Matching, Matching",E10+,Xbox 360,0.34,0.28,0.01,0.03,0.02
World of Warcraft: Warlords of Draenor,/game/pc/world-of-warcraft-warlords-of-draenor,13-Nov-14,87,5.8,Blizzard Entertainment,Blizzard Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",T,PC,0.47,0.08,0.36,N/A,0.03
LittleBigPlanet,/game/psp/littlebigplanet,17-Nov-09,87,7.8,"SCE/WWS, Media Molecule",SCEA,"Action, Platformer, Platformer, 3D, 2D, 3D",E10+,PSP,5.85,2.80,2.01,0.17,0.87
Okami HD,/game/xbox-one/okami-hd,12-Dec-17,87,8.3,Capcom,Capcom,"Action Adventure, General",T,Xbox One,0.36,0.16,0.12,0.03,0.06
Dark Cloud 2,/game/playstation-2/dark-cloud-2,17-Feb-03,87,8.6,Level 5,SCEA,"Role-Playing, Action RPG",T,PlayStation 2,0.96,0.38,0.25,0.26,0.07
GRID,/game/xbox-360/grid,3-Jun-08,87,7.8,Codemasters,Codemasters,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",E,Xbox 360,1.1,0.31,0.57,0.03,0.19
Kingdom Hearts II,/game/playstation-2/kingdom-hearts-ii,28-Mar-06,87,9,Square Enix,Square Enix,"Role-Playing, Action RPG",E10+,PlayStation 2,4.33,2.20,0.58,1.38,0.17
Fallout 4,/game/playstation-4/fallout-4,10-Nov-15,87,6.7,Bethesda Game Studios,Bethesda Softworks,"General, Role-Playing, Western-Style",M,PlayStation 4,8.48,2.91,3.97,0.27,1.34
NBA 2K14,/game/xbox-360/nba-2k14,1-Oct-13,87,4.9,Visual Concepts,2K Sports,"Sports, Traditional, Team, Basketball, Sim, Sim",E,Xbox 360,2.57,2.11,0.19,0.00,0.27
Bayonetta,/game/playstation-3/bayonetta,5-Jan-10,87,7.7,"PlatinumGames, Nex Entertainment",Sega,"Action, Action Adventure, Beat-'Em-Up, Fantasy, Beat-'Em-Up, Linear",M,PlayStation 3,1.21,0.44,0.40,0.21,0.16
Ratchet & Clank Future: A Crack in Time,/game/playstation-3/ratchet-clank-future-a-crack-in-time,27-Oct-09,87,8.9,Insomniac Games,SCEA,"Action, Platformer, Platformer, 3D, 3D",E10+,PlayStation 3,1.89,1.05,0.55,0.03,0.26
ESPN NBA Basketball,/game/xbox/espn-nba-basketball,22-Oct-03,87,7.6,Visual Concepts,Sega,"Sports, Traditional, Basketball, Sim",E,Xbox,0.54,0.26,0.21,N/A,0.07
MotoGP 2,/game/xbox/motogp-2,21-May-03,87,7.3,Climax Group,THQ,"Driving, Racing, Motorcycle, Street",E,Xbox,0.1,0.07,0.02,N/A,0.00
Guilty Gear X2,/game/playstation-2/guilty-gear-x2,3-Feb-03,87,8.7,Arc System Works,Sammy Studios,"Action, Fighting, 2D",T,PlayStation 2,0.35,0.09,0.07,0.16,0.02
Sonic Advance,/game/game-boy-advance/sonic-advance,3-Feb-02,87,7.8,Sonic Team,Sega,"Action, Platformer, 2D",E,Game Boy Advance,2.24,1.19,0.71,0.22,0.13
Half-Life,/game/playstation-2/half-life,11-Nov-01,87,8.6,Gearbox Software,Sierra Entertainment,"Action, Shooter, First-Person, Sci-Fi",M,PlayStation 2,4.12,4.03,0.00,0.09,N/A
Commandos 2: Men of Courage,/game/pc/commandos-2-men-of-courage,20-Sep-01,87,8.8,Pyro Studios,Eidos Interactive,"Strategy, Real-Time, Military, General, Military",T,PC,0.18,0.09,0.07,N/A,0.02
Spider-Man,/game/playstation/spider-man,30-Aug-00,87,8.8,Neversoft Entertainment,Activision,"Action Adventure, Sci-Fi",E,PlayStation,3.13,1.70,1.25,0.02,0.16
Tenchu: Stealth Assassins,/game/playstation/tenchu-stealth-assassins,31-Aug-98,87,8.8,Acquire,Activision,"Action Adventure, Fantasy",M,PlayStation,1.99,0.95,0.64,0.27,0.13
Shin Megami Tensei: Persona 3,/game/playstation-2/shin-megami-tensei-persona-3,14-Aug-07,86,6.1,Atlus Co.,Atlus Co.,"Role-Playing, Console-style RPG",M,PlayStation 2,0.45,0.22,0.03,N/A,0.20
PixelJunk Monsters Deluxe,/game/psp/pixeljunk-monsters-deluxe,30-Sep-09,86,7.8,Q-Games,SCEA,"Strategy, Real-Time, Fantasy, Fantasy, Defense",E,PSP,0.12,0.11,N/A,N/A,0.02
Forza Horizon 3,/game/pc/forza-horizon-3,27-Sep-16,86,7,Playground Games,Microsoft Game Studios,"Racing, Simulation, Automobile",E,PC,3.93,1.64,1.96,0.02,0.32
Unreal Tournament III,/game/playstation-3/unreal-tournament-iii,11-Dec-07,86,7.7,Epic Games,Midway,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,PlayStation 3,0.67,0.33,0.24,N/A,0.10
The Witness,/game/xbox-one/the-witness,13-Sep-16,86,6.9,"Thekla, Inc","Thekla, Inc","Adventure, 3D, First-Person",E,Xbox One,0,N/A,0.00,N/A,0.00
Kirby's Epic Yarn,/game/wii/kirbys-epic-yarn,17-Oct-10,86,8.5,Good-Feel,Nintendo,"Adventure, General, Action, Platformer, Platformer, 2D, 2D",E,Wii,2.09,1.42,0.09,0.45,0.13
