title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Shrek's Carnival Craze Party Games    ,DS,0.24,0.22,0.00,N/A,0.02,DS
Polly Pocket: Super Splash Island    ,GBA,0.24,0.17,0.06,N/A,0.00,GBA
Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout    ,X360,0.24,0.16,0.06,N/A,0.02,Xbox 360
Disgaea: Afternoon of Darkness    ,PSP,0.24,0.15,0.02,0.04,0.02,PSP
We Love Golf!    ,Wii,0.24,0.19,0.00,0.03,0.02,Wii
God of War Collection    ,PSV,0.24,0.10,0.07,0.02,0.05,PlayStation Vita
Sesame Street: Elmo's Number Journey    ,PS,0.24,0.13,0.09,N/A,0.02,PlayStation
The Godfather (US & Others sales)    ,X360,0.24,0.20,0.02,N/A,0.02,Xbox 360
Loving Life with Hello Kitty & Friends    ,DS,0.24,0.13,0.08,N/A,0.03,DS
Broken Sword: Shadow of the Templars - The Director's Cut    ,Wii,0.24,0.11,0.10,N/A,0.02,Wii
Dark Cavern    ,2600,0.24,0.22,0.01,N/A,0.00,2600
Rampage    ,2600,0.24,0.22,0.01,N/A,0.00,2600
Divinity II: Ego Draconis    ,X360,0.24,0.18,0.04,N/A,0.02,Xbox 360
Prince of Persia: The Forgotten Sands    ,Wii,0.24,0.10,0.11,N/A,0.02,Wii
Scrabble (Others sales)    ,DS,0.24,N/A,0.24,N/A,N/A,DS
Afro Samurai    ,X360,0.24,0.16,0.05,N/A,0.02,Xbox 360
Disney's A Christmas Carol    ,DS,0.24,0.21,0.01,N/A,0.02,DS
Imagine: Zookeeper    ,DS,0.24,0.15,0.06,N/A,0.02,DS
Grand Slam Tennis 2    ,PS3,0.24,0.09,0.10,N/A,0.04,PlayStation 3
Killer is Dead    ,PS3,0.24,0.12,0.04,0.05,0.03,PlayStation 3
Are You Smarter than a 5th Grader? Game Time    ,DS,0.24,0.22,N/A,N/A,0.02,DS
METRO 2033    ,PC,0.24,N/A,0.19,N/A,0.04,PC
NASCAR 08    ,PS2,0.24,0.12,0.09,N/A,0.03,PlayStation 2
Payday 2    ,XOne,0.23,0.14,0.07,N/A,0.02,Xbox One
DC Universe Online    ,PC,0.23,0.16,0.06,N/A,0.02,PC
Hot Shots Tennis: Get a Grip    ,PSP,0.23,0.08,0.00,0.13,0.02,PSP
Naruto: Path of the Ninja 2    ,DS,0.23,0.22,N/A,N/A,0.02,DS
Karaoke Revolution Volume 2    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Wallace & Gromit in Project Zoo    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Harry Potter and the Goblet of Fire    ,DS,0.23,0.20,0.01,N/A,0.02,DS
Love Plus +    ,DS,0.23,N/A,N/A,0.23,N/A,DS
Skylanders: SuperChargers Racing    ,Wii,0.23,0.07,0.15,N/A,0.02,Wii
Mobile Suit Gundam: Climax U.C.    ,PS2,0.23,N/A,N/A,0.23,N/A,PlayStation 2
Street Fighter EX2 Plus    ,PS,0.23,0.13,0.09,N/A,0.02,PlayStation
Viva Pinata: Party Animals    ,X360,0.23,0.19,0.02,N/A,0.02,Xbox 360
Big Family Games    ,Wii,0.23,N/A,0.22,N/A,0.02,Wii
Zumba Fitness: World Party    ,Wii,0.23,0.11,0.11,N/A,0.02,Wii
WWE 2K18    ,NS,0.23,0.14,0.08,N/A,0.02,Switch
The Lord of the Rings: Aragorn's Quest    ,Wii,0.23,0.17,0.05,N/A,0.02,Wii
Sands of Destruction    ,DS,0.23,0.09,N/A,0.13,0.01,DS
Jet X20    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Super Robot Taisen D    ,GBA,0.23,N/A,N/A,0.23,0.01,GBA
Cabela's Outdoor Adventures (2009)    ,PS3,0.23,0.21,N/A,N/A,0.02,PlayStation 3
NASCAR Thunder 2004    ,XB,0.23,0.18,0.05,N/A,0.01,Xbox
Buffy the Vampire Slayer    ,XB,0.23,0.18,0.05,N/A,0.01,Xbox
Wipeout 2    ,3DS,0.23,0.22,N/A,N/A,0.02,3DS
Harry Potter and the Goblet of Fire    ,XB,0.23,0.18,0.05,N/A,0.01,Xbox
The Club    ,PS3,0.23,0.14,0.07,N/A,0.03,PlayStation 3
Angry Birds    ,PC,0.23,N/A,0.19,N/A,0.05,PC
Madden NFL 12    ,PSP,0.23,0.21,N/A,N/A,0.02,PSP
Pro Yakyuu Team o Tsukurou!    ,DC,0.23,N/A,N/A,0.23,0.00,Dreamcast
Hotel for Dogs    ,DS,0.23,0.22,0.00,N/A,0.02,DS
Dynasty Warriors Gundam Reborn    ,PS3,0.23,N/A,N/A,0.23,N/A,PlayStation 3
Ashes Cricket 2009    ,Wii,0.23,N/A,0.23,N/A,0.01,Wii
Spec Ops: The Line    ,PC,0.23,0.12,0.09,N/A,0.02,PC
Megamind: Mega Team Unite    ,Wii,0.23,0.15,0.06,N/A,0.02,Wii
Rock Band Track Pack Volume 1    ,Wii,0.23,0.17,0.04,N/A,0.02,Wii
Carnival Island    ,PS3,0.23,0.13,0.06,N/A,0.04,PlayStation 3
Cross Edge     ,PS3,0.23,0.14,0.02,0.05,0.02,PlayStation 3
Puss in Boots    ,X360,0.23,0.20,0.02,N/A,0.02,Xbox 360
Rock Band Country Track Pack    ,X360,0.23,0.22,N/A,N/A,0.02,Xbox 360
World Series Baseball    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
Attack on Titan 2    ,NS,0.23,0.12,0.02,0.08,0.02,Switch
Tony Hawk's Pro Skater 5    ,PS4,0.23,0.11,0.08,N/A,0.04,PlayStation 4
Test Drive: Eve of Destruction    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Starsky & Hutch    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
Hatsune Miku -Project DIVA- f    ,PSV,0.23,N/A,N/A,0.23,N/A,PlayStation Vita
Jeremy McGrath Supercross World    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Jewels of the Tropical Lost Island    ,DS,0.23,0.11,0.10,N/A,0.02,DS
Rock Band Track Pack Volume 2    ,Wii,0.23,0.20,0.02,N/A,0.02,Wii
Meteos    ,DS,0.23,0.15,0.01,0.06,0.01,DS
The Scorpion King: Rise of the Akkadian    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Let's Make a Soccer Team!    ,PS2,0.23,N/A,N/A,0.23,N/A,PlayStation 2
WWE All Stars    ,3DS,0.23,0.15,0.06,N/A,0.02,3DS
Monster Hunter G    ,PS2,0.23,N/A,N/A,0.23,N/A,PlayStation 2
All-Star Baseball 2001    ,N64,0.23,0.22,0.01,N/A,0.00,Nintendo 64
Star Wars Jedi Knight II: Jedi Outcast    ,GC,0.23,0.18,0.05,N/A,0.01,GameCube
Tom Clancy's Splinter Cell    ,GC,0.23,0.18,0.05,N/A,0.01,GameCube
Angry Birds: Star Wars    ,PS4,0.23,0.11,0.09,N/A,0.04,PlayStation 4
Elex    ,PS4,0.23,0.03,0.16,N/A,0.04,PlayStation 4
ESPN NHL Hockey    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Harvest Moon GB    ,GB,0.23,N/A,N/A,0.23,0.00,Game Boy Advance
DiRT Showdown    ,X360,0.23,0.08,0.13,N/A,0.02,Xbox 360
Sherlock Holmes and the Mystery of Osborne House    ,DS,0.23,0.07,0.14,N/A,0.03,DS
The Incredible Hulk: Ultimate Destruction    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
NCAA GameBreaker 2003    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Gundam Battle Assault    ,PS,0.23,0.13,0.09,N/A,0.02,PlayStation
Tony Hawk's Downhill Jam    ,Wii,0.23,0.21,0.00,N/A,0.02,Wii
Virtua Fighter Kids    ,SAT,0.23,N/A,N/A,0.23,N/A,SAT
Madagascar: Escape 2 Africa    ,PS3,0.23,0.12,0.08,N/A,0.03,PlayStation 3
Lunar: Silver Star Story    ,SAT,0.23,N/A,N/A,0.23,0.00,SAT
Rocket Power: Beach Bandits    ,GC,0.23,0.18,0.05,N/A,0.01,GameCube
RIGS: Mechanized Combat League    ,PS4,0.23,0.11,0.06,0.02,0.04,PlayStation 4
Shaun White Snowboarding    ,DS,0.23,0.21,0.00,N/A,0.02,DS
Looney Tunes: Acme Arsenal    ,Wii,0.23,0.21,0.01,N/A,0.02,Wii
M&M's Kart Racing    ,Wii,0.23,0.21,N/A,N/A,0.02,Wii
Tom Clancy's Rainbow Six: Rogue Spear    ,PS,0.23,0.13,0.09,N/A,0.02,PlayStation
NHL FaceOff 2001    ,PS,0.23,0.13,0.09,N/A,0.02,PlayStation
Me & My Katamari    ,PSP,0.23,0.13,0.01,0.08,N/A,PSP
Yu-Gi-Oh! GX: Duel Academy    ,GBA,0.23,0.17,0.06,N/A,0.00,GBA
Tribes: Aerial Assault    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Ultimate Band    ,DS,0.23,0.19,0.02,N/A,0.02,DS
Colony Wars: Vengeance    ,PS,0.23,0.13,0.09,N/A,0.02,PlayStation
Madden NFL 06    ,GBA,0.23,0.17,0.06,N/A,0.00,GBA
Family Fest presents: Movie Games    ,Wii,0.23,0.21,0.01,N/A,0.02,Wii
The King of Fighters '95 (CD)    ,NG,0.23,N/A,N/A,0.23,N/A,NG
NASCAR 08    ,PS3,0.23,0.15,0.05,N/A,0.03,PlayStation 3
Perfect Weapon    ,PS,0.23,0.13,0.09,N/A,0.02,PlayStation
Harvest Moon: The Land of Origin    ,3DS,0.23,N/A,N/A,0.23,N/A,3DS
Corpse Party: Blood Drive    ,PSV,0.23,0.11,0.01,0.06,0.04,PlayStation Vita
NBA 2K6    ,X360,0.23,0.21,0.01,N/A,0.02,Xbox 360
Hello Kitty Seasons    ,Wii,0.23,0.15,0.06,N/A,0.02,Wii
Major League Baseball 2K10    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
TrackMania: Build to Race    ,Wii,0.23,0.09,0.11,N/A,0.02,Wii
Mafia    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
SSX on Tour    ,PSP,0.23,0.19,0.02,N/A,0.02,PSP
Madden NFL 13    ,WiiU,0.23,0.21,N/A,N/A,0.02,Wii U
What's Cooking? Jamie Oliver    ,DS,0.23,0.20,0.01,N/A,0.02,DS
Hannah Montana: The Movie    ,PS3,0.23,0.14,0.06,N/A,0.03,PlayStation 3
Airblade    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Dynasty Warriors: Strikeforce    ,X360,0.23,0.13,0.06,0.02,0.02,Xbox 360
Mega Man & Bass    ,GBA,0.23,0.16,0.06,N/A,0.00,GBA
Anno 2205    ,PC,0.23,0.04,0.17,N/A,0.02,PC
Transformer: Rise of the Dark Spark    ,PS4,0.23,0.08,0.11,0.01,0.04,PlayStation 4
AKB1/149: Love Election    ,PSP,0.23,N/A,N/A,0.23,N/A,PSP
Mortal Kombat: Armageddon    ,Wii,0.23,0.19,0.02,N/A,0.02,Wii
Tetris 2 (weekly jp sales)    ,GB,0.23,N/A,N/A,0.23,0.00,Game Boy Advance
Neopets Puzzle Adventure    ,Wii,0.23,0.19,0.02,N/A,0.02,Wii
Pro Yakyuu Team o Tsukurou! 2    ,PS2,0.23,N/A,N/A,0.23,N/A,PlayStation 2
Pinball Hall of Fame: The Gottlieb Collection    ,PSP,0.23,0.20,0.01,N/A,0.02,PSP
Musou Orochi Z    ,PS3,0.23,N/A,N/A,0.23,N/A,PlayStation 3
World Series of Poker 2008: Battle for the Bracelets    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Bass Pro Shops: The Hunt    ,Wii,0.23,0.21,N/A,N/A,0.02,Wii
Genji: Dawn of the Samurai    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon    ,PSP,0.23,N/A,N/A,0.23,N/A,PSP
Critical Depth    ,PS,0.23,0.13,0.09,N/A,0.01,PlayStation
Barbie as The Island Princess     ,GBA,0.23,0.16,0.06,N/A,0.00,GBA
Cars 2    ,3DS,0.23,0.21,N/A,N/A,0.02,3DS
Tales of VS.    ,PSP,0.23,N/A,N/A,0.23,N/A,PSP
Deca Sports 3    ,Wii,0.23,0.14,0.07,N/A,0.02,Wii
Rune Factory: Tides of Destiny    ,PS3,0.23,0.14,N/A,0.07,0.02,PlayStation 3
Saka-Tsuku DS: Touch and Direct    ,DS,0.23,N/A,N/A,0.23,N/A,DS
Soul Sacrifice Delta    ,PSV,0.23,0.00,0.08,0.12,0.02,PlayStation Vita
Mega Man Battle Network 5: Team Colonel / Protoman    ,GBA,0.23,0.16,0.06,N/A,0.00,GBA
The Italian Job    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Pitfall: The Big Adventure    ,Wii,0.23,0.19,0.02,N/A,0.02,Wii
Barbie and the Three Musketeers    ,Wii,0.23,0.21,0.00,N/A,0.02,Wii
Lunar Knights    ,DS,0.23,0.17,0.01,0.04,0.01,DS
Ys Seven    ,PSP,0.23,0.14,N/A,0.08,0.02,PSP
Star Ocean    ,SNES,0.23,N/A,N/A,0.23,N/A,SNES
Freedom Fighters    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
Soldier of Fortune II: Double Helix    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
Disney Princess: Enchanted Journey    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Hot Wheels: Beat That!    ,DS,0.23,0.21,0.00,N/A,0.02,DS
Naruto: Ninja Council 2 - European Edition    ,DS,0.23,N/A,0.00,0.23,N/A,DS
Final Fantasy XI: Treasures of Aht Urhgan    ,PS2,0.23,0.06,0.05,0.10,0.02,PlayStation 2
Alundra    ,PS,0.23,0.13,0.09,N/A,0.01,PlayStation
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen    ,PS3,0.23,N/A,N/A,0.23,N/A,PlayStation 3
Bratz: Girlz Really Rock    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Super R-Type    ,SNES,0.23,N/A,N/A,0.23,N/A,SNES
Rampage 2: Universal Tour    ,PS,0.23,0.13,0.09,N/A,0.01,PlayStation
Super Robot Taisen F Kanketsuhen    ,PS,0.23,N/A,N/A,0.21,0.01,PlayStation
BlowOut    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
NFL Blitz Pro    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Tiger Woods PGA Tour 2003    ,GC,0.23,0.18,0.05,N/A,0.01,GameCube
New Carnival Games    ,DS,0.23,0.16,0.05,N/A,0.02,DS
I Love Horses    ,DS,0.23,0.21,0.00,N/A,0.01,DS
Saint Seiya: Sanctuary Battle    ,PS3,0.23,N/A,0.09,0.11,0.02,PlayStation 3
The Raiden Project    ,PS,0.23,0.06,0.04,0.12,0.01,PlayStation
Pocket Fighter    ,PS,0.23,0.06,0.04,0.12,0.01,PlayStation
Bicycle Casino 2005    ,XB,0.23,0.17,0.05,N/A,0.01,Xbox
Yu-Gi-Oh! GX: Tag Force 3    ,PSP,0.23,N/A,0.03,0.18,0.01,PSP
Hooked! Real Motion Fishing    ,Wii,0.23,0.21,0.00,N/A,0.02,Wii
NCAA Football 09     ,PSP,0.23,0.21,N/A,N/A,0.02,PSP
.hack//G.U. Vol.2//Reminisce    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
AC/DC LIVE: Rock Band Track Pack    ,X360,0.23,0.21,0.00,N/A,0.02,Xbox 360
Tony Hawk's Proving Ground    ,DS,0.23,0.20,0.01,N/A,0.02,DS
NCAA GameBreaker 2004    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Need for Speed: Undercover    ,DS,0.23,0.18,0.03,N/A,0.02,DS
Valhalla Knights 2     ,PSP,0.23,0.09,0.00,0.12,0.01,PSP
Dead Island Definitive Collection    ,PS4,0.23,0.09,0.08,0.03,0.03,PlayStation 4
The Polar Express    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
LEGO The Hobbit    ,WiiU,0.23,0.09,0.11,N/A,0.02,Wii U
Spider-Man: Edge of Time    ,PS3,0.23,0.13,0.07,N/A,0.03,PlayStation 3
Buzz! Junior: RoboJam    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
3rd Super Robot Wars Z Jigoku Hen    ,PS3,0.23,N/A,N/A,0.23,N/A,PlayStation 3
Tetris Attack    ,GB,0.23,N/A,N/A,0.23,N/A,Game Boy Advance
F1 2014    ,X360,0.23,0.08,0.13,0.00,0.02,Xbox 360
No Man's Sky    ,XOne,0.23,0.17,0.04,N/A,0.02,Xbox One
NBA ShootOut 2003    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Shinobi    ,3DS,0.23,0.14,0.07,N/A,0.02,3DS
The Crew    ,X360,0.23,0.06,0.15,N/A,0.02,Xbox 360
Shin Nippon Pro Wrestling: Toukon Retsuden 3    ,PS,0.23,N/A,N/A,0.21,0.01,PlayStation
Metal Gear Survive    ,PS4,0.23,0.08,0.06,0.05,0.03,PlayStation 4
Justice League Heroes    ,PSP,0.23,0.20,0.01,N/A,0.02,PSP
Silent Hill: Book of Memories    ,PSV,0.23,0.11,0.06,0.00,0.05,PlayStation Vita
Digimon World DS (JP sales)    ,DS,0.23,N/A,N/A,0.23,N/A,DS
Jersey Devil    ,PS,0.23,0.13,0.09,N/A,0.01,PlayStation
NHL FaceOff 2003    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
Risen 2: Dark Waters    ,PS3,0.23,0.04,0.14,0.01,0.03,PlayStation 3
Vancouver 2010 - The Official Video Game of the Olympic Winter Games    ,X360,0.23,0.08,0.13,N/A,0.02,Xbox 360
Hatsune Miku: Project Mirai 2    ,3DS,0.23,N/A,N/A,0.23,N/A,3DS
Rogue Ops    ,PS2,0.23,0.11,0.09,N/A,0.03,PlayStation 2
DiRT 4    ,XOne,0.23,0.11,0.10,N/A,0.02,Xbox One
Naruto Shippuden: Ultimate Ninja Storm Revolution    ,X360,0.23,0.14,0.06,N/A,0.02,Xbox 360
Skylanders Imaginators    ,NS,0.23,0.10,0.10,N/A,0.02,Switch
Family Party: 30 Great Games Winter Fun    ,Wii,0.23,0.21,0.00,N/A,0.02,Wii
SingStar Celebration    ,PS4,0.23,0.04,0.15,N/A,0.03,PlayStation 4
101-in-1 Party Megamix Wii    ,Wii,0.22,0.19,0.01,N/A,0.02,Wii
Legion: The Legend of Excalibur    ,PS2,0.22,0.11,0.09,N/A,0.03,PlayStation 2
Kung Fu Panda 2    ,DS,0.22,0.16,0.05,N/A,0.02,DS
Hitman: Absolution    ,PC,0.22,0.03,0.18,N/A,0.01,PC
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack    ,PS3,0.22,N/A,N/A,0.22,N/A,PlayStation 3
Pro Evolution Soccer 2011    ,Wii,0.22,0.07,0.10,0.03,0.02,Wii
TNA iMPACT!    ,PS2,0.22,0.10,0.00,N/A,0.12,PlayStation 2
Last Window: The Secret of Cape West    ,DS,0.22,N/A,0.12,0.09,0.01,DS
Ultimate Duck Hunting: Hunting & Retrieving Ducks    ,Wii,0.22,0.21,N/A,N/A,0.02,Wii
NBA Street: Showdown    ,PSP,0.22,0.20,0.00,N/A,0.02,PSP
Def Jam: Fight for NY    ,GC,0.22,0.17,0.05,N/A,0.01,GameCube
Sword Art Online: Infinity Moment    ,PSP,0.22,N/A,N/A,0.22,N/A,PSP
Spartan: Total Warrior    ,PS2,0.22,0.11,0.09,N/A,0.03,PlayStation 2
EX Monopoly    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
64 de Hakken! Tamagotchi Minna de Tamagotchi World    ,N64,0.22,N/A,N/A,0.22,0.00,Nintendo 64
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive    ,GC,0.22,0.17,0.04,N/A,0.01,GameCube
Assault    ,2600,0.22,0.21,0.01,N/A,0.00,2600
Deadly Duck    ,2600,0.22,0.21,0.01,N/A,0.00,2600
Reactor    ,2600,0.22,0.21,0.01,N/A,0.00,2600
Gundam Battle Chronicle    ,PSP,0.22,N/A,N/A,0.22,N/A,PSP
Danball Senki Boost    ,PSP,0.22,N/A,N/A,0.22,N/A,PSP
Conflict: Vietnam    ,XB,0.22,0.17,0.05,N/A,0.01,Xbox
Whirl Tour    ,PS2,0.22,0.11,0.09,N/A,0.03,PlayStation 2
DanceDanceRevolution II    ,Wii,0.22,0.21,N/A,N/A,0.02,Wii
Time Crisis: Crisis Zone    ,PS2,0.22,0.11,0.09,N/A,0.03,PlayStation 2
Momotarou Dentetsu 15    ,PS2,0.22,N/A,N/A,0.22,N/A,PlayStation 2
Ben 10 Ultimate Alien: Cosmic Destruction    ,PS2,0.22,0.13,0.06,N/A,0.04,PlayStation 2
G-Force    ,PS3,0.22,0.13,0.06,N/A,0.03,PlayStation 3
NBA Live 15    ,XOne,0.22,0.18,0.02,N/A,0.02,Xbox One
Pokémon Gold/Pokémon Silver    ,3DS,0.22,N/A,0.21,N/A,0.01,3DS
Skies of Arcadia Legends    ,GC,0.22,0.17,0.04,N/A,0.01,GameCube
Petz Monkeyz House    ,DS,0.22,0.20,0.00,N/A,0.02,DS
MotoGP 08    ,PS2,0.22,0.01,0.00,N/A,0.21,PlayStation 2
Cloudy With a Chance of Meatballs    ,DS,0.22,0.20,0.01,N/A,0.02,DS
Code Name: S.T.E.A.M.    ,3DS,0.22,0.14,0.05,0.02,0.02,3DS
Sengoku Basara 3 Utage    ,PS3,0.22,N/A,N/A,0.22,N/A,PlayStation 3
FaceBreaker K.O. Party     ,Wii,0.22,0.19,0.01,N/A,0.02,Wii
Dead by Daylight    ,PS4,0.22,0.11,0.06,0.02,0.04,PlayStation 4
Breath of Fire    ,GBA,0.22,0.11,0.04,0.06,0.00,GBA
NASCAR 2011: The Game    ,Wii,0.22,0.21,N/A,N/A,0.01,Wii
Attack on Titan 2    ,PS4,0.22,0.09,0.04,0.06,0.03,PlayStation 4
Ford vs. Chevy    ,PS2,0.22,0.11,0.09,N/A,0.03,PlayStation 2
NCAA Football 2005    ,GC,0.22,0.17,0.04,N/A,0.01,GameCube
The Wolf Among Us    ,PS4,0.22,0.11,0.07,N/A,0.04,PlayStation 4
Child of Eden    ,PS3,0.22,0.09,0.10,N/A,0.04,PlayStation 3
Hamtaro: Ham-Ham Games    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
Danny Phantom: The Ultimate Enemy    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
Discovery Kids: Dolphin Discovery    ,DS,0.22,0.20,0.00,N/A,0.01,DS
Star Wars: The Force Unleashed II    ,DS,0.22,0.17,0.03,N/A,0.02,DS
Micro Machines: World Series    ,PS4,0.22,0.03,0.16,N/A,0.03,PlayStation 4
Crazy Climber    ,2600,0.22,0.21,0.01,N/A,0.00,2600
F1 2016    ,XOne,0.22,0.09,0.12,N/A,0.02,Xbox One
Super Adventure Island    ,SNES,0.22,N/A,N/A,0.22,0.00,SNES
Rock Band Track Pack: Classic Rock    ,Wii,0.22,0.21,N/A,N/A,0.02,Wii
Bust-A-Move 4    ,PS,0.22,0.12,0.08,N/A,0.01,PlayStation
NFL Quarterback Club 97    ,PS,0.22,0.12,0.08,N/A,0.01,PlayStation
Galactic Wrestling: Featuring Ultimate Muscle    ,PS2,0.22,0.03,0.02,0.17,0.01,PlayStation 2
Dino Stalker    ,PS2,0.22,0.07,0.06,0.08,0.02,PlayStation 2
Super Swing Golf    ,Wii,0.22,0.14,0.01,0.07,0.01,Wii
Mobile Suit Gundam Seed    ,PS2,0.22,N/A,N/A,0.22,N/A,PlayStation 2
Petz Rescue: Endangered Paradise    ,DS,0.22,0.21,0.00,N/A,0.02,DS
Rapala's Fishing Frenzy    ,Wii,0.22,0.20,0.00,N/A,0.02,Wii
Age of Empires: The Age of Kings    ,DS,0.22,0.18,0.02,N/A,0.02,DS
Mega Man Zero 3    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
Life Is Strange: Before the Storm    ,PS4,0.22,0.11,0.06,0.02,0.03,PlayStation 4
MotoGP 09/10    ,PS3,0.22,0.05,0.13,N/A,0.04,PlayStation 3
Total War: WARHAMMER    ,PC,0.22,N/A,0.21,N/A,0.01,PC
Luminous Arc 2    ,DS,0.22,0.20,0.00,N/A,0.02,DS
Barbie Super Sports    ,PS,0.22,0.12,0.08,N/A,0.01,PlayStation
Resident Evil: Revelations    ,WiiU,0.22,0.09,0.08,0.03,0.02,Wii U
Tony Hawk's Downhill Jam    ,DS,0.22,0.20,0.00,N/A,0.02,DS
Nicktoons Collection: Game Boy Advance Video Volume 2    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
The Legend of Heroes: Trails of Cold Steel II    ,PS3,0.22,0.05,0.04,0.11,0.02,PlayStation 3
Just Dance 2016    ,PS3,0.22,0.12,0.06,N/A,0.04,PlayStation 3
Duel Masters: Kaijudo Showdown    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
Worms: Battle Islands    ,Wii,0.22,0.10,0.10,N/A,0.02,Wii
Sumikko Gurashi: Mura o Tsukurundesu    ,3DS,0.22,N/A,N/A,0.22,N/A,3DS
Dragon Quest Builders: Revive Alefgard    ,NS,0.22,0.07,0.07,0.07,0.01,Switch
The Lord of the Rings: The Third Age    ,GBA,0.22,0.16,0.06,N/A,0.00,GBA
Kidz Bop Dance Party! The Video Game    ,Wii,0.22,0.20,N/A,N/A,0.02,Wii
Karaoke Revolution Glee 2: Road to Regionals    ,Wii,0.22,0.14,0.06,N/A,0.02,Wii
Deadpool    ,XOne,0.22,0.17,0.03,N/A,0.02,Xbox One
The Suffering    ,XB,0.22,0.16,0.05,N/A,0.01,Xbox
Tetris Worlds    ,GC,0.22,0.17,0.04,N/A,0.01,GameCube
Chou-Kuukan Night Pro Yakyuu King(higher JP sales)    ,N64,0.22,N/A,N/A,0.22,0.00,Nintendo 64
ECW Hardcore Revolution    ,N64,0.22,0.18,0.04,N/A,0.00,Nintendo 64
Mega Man 64    ,N64,0.22,0.14,0.03,0.05,0.00,Nintendo 64
Ms. Pac-Man: Maze Madness    ,N64,0.22,0.18,0.04,N/A,0.00,Nintendo 64
Rampage 2: Universal Tour    ,N64,0.22,0.18,0.04,N/A,0.00,Nintendo 64
NBA Live 09 All-Play    ,Wii,0.22,0.19,0.02,N/A,0.02,Wii
Tales of Graces    ,Wii,0.22,N/A,N/A,0.22,N/A,Wii
The Amazing Spider-Man 2 (2014)    ,XOne,0.22,0.12,0.08,N/A,0.02,Xbox One
All Star Karate    ,Wii,0.22,0.13,0.07,N/A,0.02,Wii
Viewtiful Joe 2    ,GC,0.22,0.17,0.04,N/A,0.01,GameCube
Jackass the Game    ,PSP,0.22,0.09,0.08,N/A,0.05,PSP
The Legend of Heroes: Trails in the Sky FC    ,PSP,0.22,0.10,0.03,0.06,0.03,PSP
Naruto Shippuuden: Ninja Council 4    ,DS,0.22,0.08,N/A,0.13,0.01,DS
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive    ,PS2,0.22,0.11,0.08,N/A,0.03,PlayStation 2
Kingdom Come: Deliverance    ,XOne,0.22,0.14,0.06,N/A,0.02,Xbox One
Dragon Ball: Origins (JP & incomplete US sales)    ,DS,0.22,0.04,N/A,0.17,0.00,DS
Touch the Dead    ,DS,0.22,0.20,0.00,N/A,0.02,DS
Marvel Super Hero Squad: The Infinity Gauntlet    ,DS,0.22,0.17,0.03,N/A,0.02,DS
NBA Jam Extreme    ,PS,0.22,0.12,0.08,N/A,0.01,PlayStation
Bladestorm: Nightmare    ,PS4,0.22,0.11,0.04,0.03,0.03,PlayStation 4
