title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Super Mario Sunshine    ,GC,6.31,4.01,1.26,0.87,0.17,GameCube
Street Fighter II: The World Warrior    ,SNES,6.30,2.47,0.83,2.87,0.12,SNES
The Last of Us    ,PS3,6.27,2.41,2.57,0.29,0.99,PlayStation 3
Driver    ,PS,6.27,3.11,2.80,0.02,0.33,PlayStation
Call of Duty: WWII    ,XOne,6.23,3.75,1.91,N/A,0.57,Xbox One
Kinect Sports    ,X360,6.23,3.92,1.73,0.03,0.55,Xbox 360
Gears of War 3    ,X360,6.22,4.05,1.59,0.07,0.50,Xbox 360
God of War (2018)    ,PS4,6.15,2.83,2.17,0.13,1.02,PlayStation 4
Gears of War    ,X360,6.09,3.54,1.88,0.07,0.60,Xbox 360
Minecraft    ,PS3,6.05,2.21,2.86,N/A,0.99,PlayStation 3
Metal Gear Solid 2: Sons of Liberty    ,PS2,6.05,2.45,2.01,0.87,0.72,PlayStation 2
Sonic the Hedgehog 2    ,GEN,6.03,4.47,1.20,0.16,0.19,GEN
Metal Gear Solid    ,PS,6.03,3.18,1.83,0.78,0.24,PlayStation
Metal Gear Solid 4: Guns of the Patriots    ,PS3,6.00,2.63,1.72,0.83,0.81,PlayStation 3
Final Fantasy XII    ,PS2,5.95,1.88,0.00,2.33,1.74,PlayStation 2
Tomodachi Life    ,3DS,5.88,0.97,2.64,1.98,0.28,3DS
LittleBigPlanet    ,PS3,5.85,2.80,2.01,0.17,0.87,PlayStation 3
Horizon: Zero Dawn    ,PS4,5.82,2.20,2.43,0.28,0.92,PlayStation 4
Resident Evil 2    ,PS,5.82,1.88,1.47,2.02,0.45,PlayStation
Dragon Quest IX: Sentinels of the Starry Skies    ,DS,5.79,0.63,0.67,4.35,0.15,DS
Red Dead Redemption 2    ,XOne,5.77,3.76,1.47,N/A,0.54,Xbox One
Destiny    ,PS4,5.76,2.53,2.13,0.16,0.94,PlayStation 4
Tekken 2    ,PS,5.74,2.26,1.89,1.36,0.23,PlayStation
Uncharted: The Nathan Drake Collection    ,PS4,5.70,2.55,2.11,0.10,0.94,PlayStation 4
LEGO Star Wars: The Complete Saga    ,Wii,5.66,3.57,1.57,N/A,0.52,Wii
Cooking Mama    ,DS,5.66,3.09,1.92,0.07,0.58,DS
New Super Mario Bros. U    ,WiiU,5.62,2.30,1.63,1.32,0.38,Wii U
Tetris    ,NES,5.58,2.97,0.69,1.81,0.11,NES
Assassin's Creed II    ,PS3,5.57,2.54,1.95,0.21,0.86,PlayStation 3
Super Smash Bros.    ,N64,5.55,2.95,0.60,1.97,0.04,Nintendo 64
Assassin's Creed    ,X360,5.55,3.28,1.64,0.07,0.56,Xbox 360
Batman: Arkham City    ,PS3,5.54,2.72,1.89,0.11,0.82,PlayStation 3
