title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Naruto to Boruto: Shinobi Striker,Xbox One,Microsoft,2,action,2018,Bandai Namco Games,Soleil Software Studio Inc.,6,0.19,0.17,0,0,0.02
Dragon Blade: Wrath of Fire,Wii,Nintendo,1,action,2007,D3 Publisher,D3 Publisher,5.1,0.18,0.17,0,0,0.01
Indiana Jones and the Emperor's Tomb,Xbox,Microsoft,1,action,2003,LucasArts,The Collective,7.3,0.18,0.14,0.04,0,0.01
Anarchy Reigns,Xbox 360,Microsoft,2,action,2013,Sega,PlatinumGames,7.3,0.18,0.12,0.02,0.02,0.02
Senran Kagura 2: Deep Crimson,3DS,Nintendo,1,action,2015,Marvelous Entertainment,Tamsoft,5.8,0.18,0.06,0.02,0.08,0.01
Gauntlet: Dark Legacy,GameCube,Nintendo,2,action,2002,Midway Games,Midway Games West,6,0.18,0.14,0.04,0,0
Van Helsing,Xbox,Microsoft,3,action,2007,VU Games,Saffire Corporation,6.3,0.18,0.13,0.04,0,0.01
Splatterhouse,Xbox 360,Microsoft,2,action,2010,Namco Bandai,BottleRocket,6.2,0.18,0.14,0.03,0,0.01
Teen Titans,Game Boy Advance,Nintendo,3,action,2005,THQ,A2M,6.1,0.17,0.13,0.05,0,0
Hunter: The Reckoning Redeemer,Xbox,Microsoft,1,action,2003,VU Games,High Voltage Software,7.2,0.17,0.13,0.04,0,0.01
Thief: Deadly Shadows,Xbox,Microsoft,1,action,2004,Eidos Interactive,Unknown,8.2,0.17,0.13,0.04,0,0.01
Spawn: Armageddon,Xbox,Microsoft,3,action,2003,Namco,Point of View,5.7,0.17,0.13,0.04,0,0.01
State of Emergency,Xbox,Microsoft,2,action,2003,Rockstar Games,VIS Entertainment,6.7,0.17,0.13,0.04,0,0.01
Warriors Orochi 3,Xbox 360,Microsoft,2,action,2012,Tecmo Koei,Omega Force,7.1,0.16,0.09,0.03,0.03,0.01
Dynasty Warriors 4,Xbox,Microsoft,2,action,2003,KOEI,Omega Force,7.5,0.16,0.12,0.03,0,0.01
Spyro: Shadow Legacy,DS,Nintendo,1,action,2005,Vivendi Games,Amaze Entertainment,5,0.16,0.14,0.01,0,0.01
Jurassic Park: The Game,Xbox 360,Microsoft,1,action,2011,Telltale Games,Telltale Games,6,0.16,0.15,0,0,0.01
He-Man: Power of Grayskull,Game Boy Advance,Nintendo,1,action,2002,TDK Mediactive,Taniko,5,0.16,0.11,0.04,0,0
Ultimate Spider-Man,DS,Nintendo,5,action,2005,Activision,Vicarious Visions,7.8,0.15,0.14,0,0,0.01
The Terminator: Dawn of Fate,Xbox,Microsoft,2,action,2002,Atari,Paradigm Entertainment,5.3,0.15,0.11,0.03,0,0.01
Prince of Persia: The Forgotten Sands,DS,Nintendo,5,action,2010,Ubisoft,Ubisoft Montreal,5.7,0.15,0.14,0.01,0,0.01
Fire Emblem Warriors,3DS,Nintendo,2,action,2017,Nintendo,Omega Force,6.9,0.15,0.07,0.03,0.04,0.01
Samurai Warriors: Katana,Wii,Nintendo,1,action,2008,KOEI,Omega Force,5.3,0.15,0.11,0,0.04,0.01
Marvel Super Hero Squad: The Infinity Gauntlet,Xbox 360,Microsoft,2,action,2010,THQ,THQ,5.5,0.15,0.12,0.02,0,0.01
The Escapists 2,Xbox One,Microsoft,3,action,2017,Sold Out,Team17 Software,7.7,0.15,0.05,0.08,0,0.01
Transformers: Devastation,Xbox One,Microsoft,3,action,2015,Activision,PlatinumGames,7.5,0.15,0.1,0.04,0,0.01
Jaws Unleashed,Xbox,Microsoft,2,action,2006,Majesco,Appaloosa Interactive,5.1,0.15,0.11,0.03,0,0.01
X-Men: The Official Game,GameCube,Nintendo,6,action,2006,Activision,Hypnos,5,0.15,0.12,0.03,0,0
Batman Begins,GameCube,Nintendo,4,action,2005,Electronic Arts,Eurocom Entertainment Software,6.6,0.15,0.11,0.03,0,0
The Cursed Crusade,Xbox 360,Microsoft,3,action,2011,Atlus,Kylotonn Entertainment,3.9,0.15,0.08,0.05,0,0.01
Attack on Titan,Xbox One,Microsoft,2,action,2016,Tecmo Koei,Omega Force,7.7,0.15,0.06,0.07,0,0.01
Grabbed by the Ghoulies,Xbox,Microsoft,1,action,2003,Microsoft Game Studios,Rare Ltd.,6.6,0.14,0.11,0.03,0,0.01
Senran Kagura Burst,3DS,Nintendo,1,action,2013,Xseed Games,Tamsoft,6.2,0.14,0,0,0.14,0
Terminator 3: Rise of the Machines,Xbox,Microsoft,3,action,2003,Atari,Black Ops Entertainment,3.5,0.14,0.11,0.03,0,0.01
Resident Evil: Revelations 2,Xbox One,Microsoft,3,action,2015,Capcom,Capcom,7.5,0.14,0.1,0.02,0,0.01
Dishonored: Death of the Outsider,Xbox One,Microsoft,3,action,2017,Bethesda Softworks,Arkane Studios,8.4,0.14,0.07,0.06,0,0.01
Dino Crisis 3,Xbox,Microsoft,1,action,2003,Capcom,Capcom Production Studio 4,5.1,0.14,0.08,0.03,0.03,0
Star Wars: Jedi Power Battles,Game Boy Advance,Nintendo,1,action,2002,THQ,HotGen Studios,5.8,0.14,0.1,0.04,0,0
Avatar: The Last Airbender - The Burning Earth,Xbox 360,Microsoft,1,action,2007,THQ,THQ Australia,5.4,0.13,0.11,0.01,0,0.01
