title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
BlazBlue: Calamity Trigger,Xbox 360,Microsoft,2,fighting,2009,Aksys Games,Arc System Works,8.5,0.36,0.21,0.08,0.04,0.03
Dragon Ball Z: Extreme Butoden,3DS,Nintendo,1,fighting,2015,Namco Bandai Games,Arc System Works,5,0.35,0.13,0.03,0.17,0.02
EA Sports MMA,Xbox 360,Microsoft,2,fighting,2010,EA Sports,EA Tiburon,7.7,0.35,0.23,0.09,0,0.03
Teenage Mutant Ninja Turtles: Smash-Up,Wii,Nintendo,2,fighting,2009,Ubisoft,Game Arts,7.2,0.35,0.33,0,0,0.03
WWE All Stars,Xbox 360,Microsoft,4,fighting,2011,THQ,THQ,7.7,0.34,0.18,0.14,0,0.03
WWE Day of Reckoning 2,GameCube,Nintendo,1,fighting,2005,THQ,Yuke's Future Media Creators,8.3,0.34,0.26,0.07,0,0.01
Dead or Alive 5,Xbox 360,Microsoft,2,fighting,2012,Tecmo Koei,Team Ninja,7.6,0.33,0.2,0.08,0.03,0.03
WWE Wrestlemania XIX,GameCube,Nintendo,1,fighting,2003,THQ,Yuke's,7.8,0.33,0.26,0.07,0,0.01
Kirby: Battle Royale,3DS,Nintendo,1,fighting,2018,Nintendo,HAL Laboratory,6,0.33,0.07,0.05,0.2,0.01
Bleach: Shattered Blade,Wii,Nintendo,1,fighting,2007,Sega,Polygon Magic,5.3,0.32,0.21,0.01,0.08,0.02
BlazBlue: Continuum Shift,Xbox 360,Microsoft,2,fighting,2010,Aksys Games,Arc System Works,8.6,0.32,0.23,0.04,0.02,0.02
PowerUp Heroes,Xbox 360,Microsoft,1,fighting,2011,Ubisoft,Ubisoft,4,0.3,0.18,0.09,0,0.03
Kung Fu Chaos,Xbox,Microsoft,1,fighting,2003,Microsoft Game Studios,Just Add Monsters,7,0.28,0.21,0.06,0,0.01
Godzilla: Domination!,Game Boy Advance,Nintendo,1,fighting,2002,Atari,WayForward Pocket Team,4.7,0.28,0.2,0.07,0,0.01
Virtua Fighter 5 Online,Xbox 360,Microsoft,1,fighting,2007,Sega,Sega-AM2,9.2,0.28,0.2,0.02,0.03,0.02
Punch-Out!!,Wii,Nintendo,1,fighting,2009,Nintendo,Next Level Games,8.7,0.26,0,0.17,0.05,0.04
Def Jam Vendetta,GameCube,Nintendo,2,fighting,2003,EA Sports BIG,Aki Corporation,8.8,0.25,0.19,0.05,0,0.01
Mortal Kombat: Armageddon,Wii,Nintendo,2,fighting,2007,Midway Games,JGI Entertainment,6.8,0.23,0.19,0.02,0,0.02
FaceBreaker K.O. Party,Wii,Nintendo,1,fighting,2008,Electronic Arts,EA Freestyle,6.7,0.22,0.19,0.01,0,0.02
Tekken 3D: Prime Edition,3DS,Nintendo,1,fighting,2012,Namco Bandai,Namco Bandai Games,6.5,0.21,0.06,0.08,0.05,0.01
Final Fight One,Game Boy Advance,Nintendo,1,fighting,2001,Capcom,Capcom,8.2,0.21,0.09,0.03,0.08,0
Dragon Ball Z: Sagas,GameCube,Nintendo,3,fighting,2005,Atari,Avalanche Software,5.7,0.21,0.16,0.04,0,0.01
Super Street Fighter IV: Arcade Edition,Xbox 360,Microsoft,3,fighting,2011,Capcom,Capcom / Dimps Corporation,8.6,0.19,0.12,0.03,0.03,0.01
Tekken Tag Tournament 2,Wii U,Nintendo,3,fighting,2012,Namco Bandai Games,Bandai Namco Games,8.1,0.19,0.09,0.07,0.01,0.01
Bloody Roar: Primal Fury,GameCube,Nintendo,1,fighting,2002,Activision,Eighting / Raizing,7.9,0.18,0.14,0.04,0,0
Backyard Wrestling: Don't Try This at Home,Xbox,Microsoft,2,fighting,2003,Eidos Interactive,Paradox Development,6,0.17,0.13,0.04,0,0.01
Castlevania Judgment,Wii,Nintendo,1,fighting,2008,Konami,Konami / Eighting,4.6,0.16,0.12,0.02,0.01,0.01
TNA iMPACT!,Wii,Nintendo,4,fighting,2008,Midway Games,Midway Studios Los Angeles,5.3,0.16,0.14,0.01,0,0.01
Custom Robo Arena,DS,Nintendo,1,fighting,2007,Nintendo,Noise Inc.,7.4,0.16,0.01,0.02,0.12,0
Godzilla Unleashed,Wii,Nintendo,1,fighting,2007,Atari,"Pipeworks Software, Inc.",4.5,0.16,0.14,0,0,0.01
Digimon Battle Spirit 2,Game Boy Advance,Nintendo,1,fighting,2003,Bandai,Dimps Corporation,7,0.15,0.11,0.04,0,0
Victorious Boxers: Revolution,Wii,Nintendo,1,fighting,2007,Xseed Games,Cavia Inc.,5.8,0.14,0.07,0,0.06,0.01
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GameCube,Nintendo,1,fighting,2003,Bandai,Aki Corporation,8,0.14,0.04,0.01,0.08,0
Rumble Roses XX,Xbox 360,Microsoft,1,fighting,2006,Konami,Yuke's Future Media Creators,6.5,0.13,0.07,0.01,0.04,0.01
Fire ProWrestling,Game Boy Advance,Nintendo,1,fighting,2001,BAM! Entertainment,Spike,8,0.13,0.09,0.03,0,0
X-Men: Next Dimension,GameCube,Nintendo,3,fighting,2002,Activision,EXAKT Entertainment,7,0.13,0.1,0.03,0,0
The King of Fighters XII,Xbox 360,Microsoft,2,fighting,2009,Ignition Entertainment,SNK Playmore Corporation,6.4,0.11,0.09,0,0.01,0.01
Mortal Kombat: Deception,GameCube,Nintendo,3,fighting,2005,Midway Games,Midway Games,7.2,0.11,0.09,0.02,0,0
BlazBlue: Continuum Shift II,3DS,Nintendo,2,fighting,2011,Aksys Games,Arc System Works,6,0.11,0.05,0.02,0.04,0.01
Dead or Alive 5 Last Round,Xbox One,Microsoft,2,fighting,2015,Tecmo Koei,Team Ninja,7.5,0.1,0.05,0.03,0.01,0.01
Cartoon Network: Punch Time Explosion,3DS,Nintendo,1,fighting,2011,Crave Entertainment,Papaya Studios,5.6,0.1,0.07,0.02,0,0.01
Rocky,GameCube,Nintendo,3,fighting,2002,Ubisoft,Steel Monkeys,7,0.09,0.07,0.02,0,0
Ultimate Mortal Kombat,DS,Nintendo,1,fighting,2007,Midway Games,Other Ocean Interactive,7.3,0.09,0.07,0.01,0,0.01
Battle Fantasia,Xbox 360,Microsoft,2,fighting,2008,Aksys Games,Arc System Works,7,0.09,0.07,0,0.01,0.01
Gundam Seed: Battle Assault,Game Boy Advance,Nintendo,1,fighting,2004,Bandai,Bandai,6.5,0.08,0.06,0.02,0,0
Supremacy MMA,Xbox 360,Microsoft,2,fighting,2011,505 Games,Kung Fu Factory,5,0.08,0.05,0.02,0,0.01
Samurai Shodown Sen,Xbox 360,Microsoft,1,fighting,2010,Xseed Games,K2 LLC,4.8,0.08,0.07,0.01,0,0.01
The King of Fighters EX2: Howling Blood,Game Boy Advance,Nintendo,1,fighting,2003,Atlus,Marvelous Interactive,7.9,0.08,0.06,0.02,0,0
Ultimate Fighting Championship: Throwdown,GameCube,Nintendo,2,fighting,2002,Crave Entertainment,Opus Studio,6.7,0.08,0.06,0.02,0,0
Kengo: Legend of The 9,Xbox 360,Microsoft,1,fighting,2007,Majesco,Genki,4.8,0.07,0.06,0.01,0,0.01
TMNT: Mutant Melee,GameCube,Nintendo,2,fighting,2005,Konami,Konami Computer Entertainment Hawaii,4.2,0.07,0.06,0.01,0,0
Ultimate Marvel vs. Capcom 3,Xbox 360,Microsoft,4,fighting,2011,Capcom,Capcom,8.3,0.07,0,0.03,0.04,0
Zatch Bell! Mamodo Battles,GameCube,Nintendo,2,fighting,2005,Bandai,Eighting,7,0.06,0.05,0.01,0,0
Guilty Gear X: Advance Edition,Game Boy Advance,Nintendo,1,fighting,2002,Sammy Corporation,Arc System Works,7.3,0.06,0.04,0.02,0,0
Rave Master,GameCube,Nintendo,1,fighting,2005,Konami,Konami,6.8,0.05,0,0,0.05,0
Zatch Bell! Electric Arena,Game Boy Advance,Nintendo,1,fighting,2005,Bandai,Eighting,4.4,0.03,0.02,0.01,0,0
SoulCalibur II(JP sales),Xbox,Microsoft,1,fighting,2003,Namco,Namco,9.3,0.03,0,0,0.03,0
Animal Boxing,DS,Nintendo,1,fighting,2008,Destineer,Gammick Entertainment,6.1,0.03,0.03,0,0,0
Guilty Gear XX Accent Core Plus,Wii,Nintendo,1,fighting,2009,Aksys Games,Arc System Works,7,0.03,0.01,0.02,0,0
Soul Calibur IV,Xbox Live,Microsoft,1,fighting,2008,Namco Bandai Games,Project Soul,8.4,0.01,0,0,0,0
Wii Play,Wii,Nintendo,1,miscellaneous,2007,Nintendo,Nintendo EAD,5.9,28.92,13.96,9.18,2.93,2.85
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,1,miscellaneous,2006,Nintendo,Nintendo SDD,8.1,20.16,4.74,9.21,4.16,2.04
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,1,miscellaneous,2007,Nintendo,Nintendo SDD,8,15.29,3.43,5.36,5.32,1.18
Just Dance 3,Wii,Nintendo,2,miscellaneous,2011,Ubisoft,Ubisoft Paris,7.5,10.14,5.95,3.13,0,1.06
Just Dance 2,Wii,Nintendo,1,miscellaneous,2010,Ubisoft,Ubisoft Paris,7.3,9.45,5.8,2.86,0.01,0.77
Mario Party DS,DS,Nintendo,1,miscellaneous,2007,Nintendo,Hudson Soft,7.1,8.93,4.4,1.86,1.98,0.69
Wii Party,Wii,Nintendo,1,miscellaneous,2010,Nintendo,"Nd Cube Co., Ltd.",7,8.41,1.75,3.51,2.49,0.66
Mario Party 8,Wii,Nintendo,1,miscellaneous,2007,Nintendo,Hudson Soft,6.5,8.3,3.74,2.27,1.58,0.7
Just Dance,Wii,Nintendo,1,miscellaneous,2009,Ubisoft,Ubisoft Paris,5.4,7.21,3.48,2.99,0,0.73
Big Brain Academy,DS,Nintendo,1,miscellaneous,2006,Nintendo,Nintendo EAD,7.7,6.63,1.66,2.75,1.6,0.62
Guitar Hero III: Legends of Rock,Wii,Nintendo,4,miscellaneous,2007,RedOctane,Vicarious Visions,8.6,4.6,3.04,1.12,0,0.44
Guitar Hero III: Legends of Rock,Xbox 360,Microsoft,4,miscellaneous,2007,RedOctane,Neversoft,8.7,4.53,3.19,0.91,0.01,0.42
Michael Jackson: The Experience,Wii,Nintendo,2,miscellaneous,2010,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,1.33,0.01,0.39
Carnival Games,Wii,Nintendo,2,miscellaneous,2007,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,1.47,0.05,0.42
Flash Focus: Vision Training in Minutes a Day,DS,Nintendo,1,miscellaneous,2007,Nintendo,Bandai Namco Games,6.1,3.83,0.86,1.56,1.05,0.35
Big Brain Academy: Wii Degree,Wii,Nintendo,1,miscellaneous,2007,Nintendo,Nintendo EAD,7.1,3.79,1.05,1.91,0.41,0.42
Guitar Hero: World Tour,Wii,Nintendo,3,miscellaneous,2008,Activision,Vicarious Visions,8.4,3.62,2.32,0.96,0,0.34
Guitar Hero: On Tour,DS,Nintendo,1,miscellaneous,2008,Activision,Vicarious Visions,7.1,3.46,2.1,1.01,0.01,0.35
Clubhouse Games,DS,Nintendo,1,miscellaneous,2006,Nintendo,Agenda,8.3,3.45,0.59,1.8,0.73,0.34
Personal Trainer: Cooking,DS,Nintendo,1,miscellaneous,2008,Nintendo,Nintendo EAD,8.4,3.13,0.91,1.01,1.03,0.17
Guitar Hero: World Tour,Xbox 360,Microsoft,3,miscellaneous,2008,Activision,Neversoft Entertainment,8.6,2.66,1.78,0.64,0,0.25
Art Academy,DS,Nintendo,1,miscellaneous,2010,Nintendo,Headstrong Games,6.8,2.52,0.26,1.66,0.33,0.27
Game Party,Wii,Nintendo,1,miscellaneous,2007,Midway Games,JGI Entertainment,2.6,2.49,1.47,0.77,0,0.24
Mario Party 4,GameCube,Nintendo,1,miscellaneous,2002,Nintendo,Hudson Soft,7,2.47,1.13,0.36,0.92,0.07
Rock Band,Xbox 360,Microsoft,4,miscellaneous,2007,MTV Games,Harmonix Music Systems,9.1,2.47,1.93,0.33,0,0.21
Super Monkey Ball: Banana Blitz,Wii,Nintendo,1,miscellaneous,2006,Sega,Sega,7.3,2.24,1.05,0.91,0.04,0.24
Guitar Hero II,Xbox 360,Microsoft,2,miscellaneous,2007,RedOctane,Harmonix Music Systems,9.2,2.21,2.01,0.02,0,0.17
Rock Band 2,Xbox 360,Microsoft,4,miscellaneous,2008,MTV Games,Harmonix Music Systems,9.2,2.2,1.78,0.24,0,0.18
Rock Band,Wii,Nintendo,4,miscellaneous,2008,MTV Games,Harmonix Music Systems,8.2,2.08,1.33,0.56,0,0.2
Mario Party 5,GameCube,Nintendo,1,miscellaneous,2003,Nintendo,Hudson Soft,5.9,2.08,0.97,0.33,0.73,0.06
Sonic Mega Collection,GameCube,Nintendo,1,miscellaneous,2002,Sega,Sonic Team,7.5,2.05,1.47,0.48,0.05,0.06
Rayman Raving Rabbids: TV Party,Wii,Nintendo,1,miscellaneous,2008,Ubisoft,Ubisoft Paris,7.1,2.03,0.72,1.08,0,0.23
Just Dance 3,Xbox 360,Microsoft,2,miscellaneous,2011,Ubisoft,Ubisoft Paris,5.5,2.02,1.47,0.39,0,0.16
Mario Party 10,Wii U,Nintendo,1,miscellaneous,2015,Nintendo,"Nd Cube Co., Ltd.",6.3,2,0.82,0.75,0.29,0.14
Mario Party 3,Nintendo 64,Nintendo,1,miscellaneous,2001,Nintendo,Hudson Soft,7,1.91,0.72,0.16,1.01,0.02
Rayman Raving Rabbids 2,Wii,Nintendo,2,miscellaneous,2007,Ubisoft,Ubisoft Paris,6.6,1.84,0.82,0.82,0,0.2
High School Musical: Sing It!,Wii,Nintendo,2,miscellaneous,2007,Disney Interactive Studios,Artificial Mind and Movement,6.4,1.76,1.15,0.45,0,0.16
The Beatles: Rock Band,Wii,Nintendo,3,miscellaneous,2009,MTV Games,Harmonix Music Systems,9,1.71,1.17,0.39,0,0.15
Mario Party 6,GameCube,Nintendo,1,miscellaneous,2004,Nintendo,Hudson Soft,7.2,1.65,0.9,0.11,0.6,0.05
Mario Party 7,GameCube,Nintendo,1,miscellaneous,2005,Nintendo,Hudson Soft,6,1.57,0.95,0.11,0.46,0.04
Guitar Hero 5,Wii,Nintendo,3,miscellaneous,2009,Activision,Vicarious Visions,8.9,1.55,0.92,0.48,0,0.15
Go Vacation,Wii,Nintendo,2,miscellaneous,2011,Namco Bandai,Namco Bandai Games,7,1.54,0.42,0.66,0.33,0.13
Sonic's Ultimate Genesis Collection,Xbox 360,Microsoft,2,miscellaneous,2009,Sega,Backbone Entertainment,8.1,1.48,0.9,0.44,0,0.14
Disney Sing It: Pop Hits,Wii,Nintendo,1,miscellaneous,2009,Disney Interactive Studios,Zoe Mode,6.8,1.48,1.07,0.28,0,0.12
Minecraft,Wii U,Nintendo,3,miscellaneous,2016,Mojang,4J Studios,5.5,1.47,0.5,0.49,0.38,0.09
Smarty Pants,Wii,Nintendo,1,miscellaneous,2007,Electronic Arts,EA Los Angeles,6.5,1.43,0.52,0.75,0,0.16
Rayman Raving Rabbids,Wii,Nintendo,3,miscellaneous,2006,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.07,0.02,0.11
Hasbro Family Game Night 2,Wii,Nintendo,1,miscellaneous,2009,Electronic Arts,EA Bright Light,6.4,1.36,0.7,0.52,0,0.13
The Beatles: Rock Band,Xbox 360,Microsoft,3,miscellaneous,2009,MTV Games,Harmonix Music Systems,8.9,1.31,0.97,0.23,0,0.11
Donkey Konga,GameCube,Nintendo,1,miscellaneous,2004,Nintendo,Namco,7.3,1.15,0.5,0.16,0.46,0.03
Rocksmith,Xbox 360,Microsoft,2,miscellaneous,2011,Ubisoft,Ubisoft,8,1.13,0.85,0.19,0.01,0.08
Guitar Hero 5,Xbox 360,Microsoft,3,miscellaneous,2009,Activision,Neversoft Entertainment,9,1.13,0.65,0.37,0,0.11
DJ Hero,Xbox 360,Microsoft,4,miscellaneous,2009,Activision,FreeStyleGames,8.4,1.09,0.59,0.39,0,0.11
Rock Band 2,Wii,Nintendo,4,miscellaneous,2008,MTV Games,Harmonix Music Systems,9,1.02,0.93,0.01,0,0.08
Band Hero,Wii,Nintendo,5,miscellaneous,2009,Activision,Vicarious Visions,7.4,0.97,0.59,0.29,0,0.09
Guitar Hero: Warriors of Rock,Wii,Nintendo,3,miscellaneous,2010,Activision,Vicarious Visions,7.3,0.96,0.47,0.41,0,0.09
Guitar Hero: Metallica,Wii,Nintendo,3,miscellaneous,2009,Activision,BudCat Creations,8.9,0.93,0.4,0.43,0,0.1
Wii Play: Motion,Wii,Nintendo,1,miscellaneous,2011,Nintendo,Nintendo EAD,5.2,0.92,0.23,0.43,0.18,0.08
Samba De Amigo,Wii,Nintendo,1,miscellaneous,2008,Sega,Gearbox Software,6.7,0.89,0.41,0.37,0.01,0.09
Rock Band 3,Xbox 360,Microsoft,3,miscellaneous,2010,MTV Games,Harmonix Music Systems,9.4,0.88,0.73,0.09,0,0.06
Michael Jackson: The Experience,Xbox 360,Microsoft,2,miscellaneous,2011,Ubisoft,Ubisoft Montreal,5.6,0.87,0.62,0.18,0,0.07
Wii Fit U,Wii U,Nintendo,1,miscellaneous,2014,Nintendo,Nintendo,7.2,0.86,0.35,0.24,0.21,0.06
Guitar Hero: Warriors of Rock,Xbox 360,Microsoft,3,miscellaneous,2010,Activision,Neversoft Entertainment,7.1,0.86,0.47,0.31,0,0.07
DJ Hero 2,Xbox 360,Microsoft,3,miscellaneous,2010,Activision,FreeStyle Games,8.5,0.83,0.65,0.12,0,0.06
Yu-Gi-Oh! Dark Duel Stories,Game Boy,Nintendo,1,miscellaneous,2002,Konami,KCEJ,6.2,0.83,0,0,0.83,0
Guitar Hero: Metallica,Xbox 360,Microsoft,3,miscellaneous,2009,Activision,Neversoft Entertainment,8.5,0.8,0.52,0.2,0,0.07
Dead Island: Riptide,Xbox 360,Microsoft,3,miscellaneous,2013,Deep Silver,Techland,5.6,0.79,0.44,0.27,0.01,0.07
Band Hero,Xbox 360,Microsoft,5,miscellaneous,2009,Activision,Neversoft Entertainment,7.6,0.79,0.51,0.21,0,0.07
DJ Hero,Wii,Nintendo,4,miscellaneous,2009,Activision,FreeStyleGames,8.6,0.78,0.47,0.23,0,0.08
Lips,Xbox 360,Microsoft,1,miscellaneous,2008,Microsoft Game Studios,iNiS,7.1,0.77,0.12,0.56,0,0.1
LEGO Rock Band,Wii,Nintendo,4,miscellaneous,2009,Warner Bros. Interactive,TT Games / Harmonix Music Systems,6.8,0.7,0.41,0.22,0,0.06
The Evil Within,Xbox One,Microsoft,3,miscellaneous,2014,Bethesda Softworks,Tango Gameworks,7.9,0.69,0.36,0.27,0,0.06
100 Classic Books,DS,Nintendo,1,miscellaneous,2010,Nintendo,Genius Sonority Inc.,4,0.67,0.12,0.52,0,0.02
Scene It? Box Office Smash,Xbox 360,Microsoft,1,miscellaneous,2008,Microsoft Game Studios,Krome Studios / Screenlife Games,7.6,0.65,0.33,0.25,0,0.07
Rock Band 3,Wii,Nintendo,3,miscellaneous,2010,MTV Games,Harmonix Music Systems,9.2,0.64,0.53,0.06,0,0.05
Konami Collector's Series: Arcade Advanced,Game Boy Advance,Nintendo,1,miscellaneous,2002,Konami,KCEA,8,0.64,0.46,0.17,0,0.01
Namco Museum,GameCube,Nintendo,4,miscellaneous,2002,Namco,Mass Media,5.3,0.63,0.48,0.13,0,0.02
DJ Hero 2,Wii,Nintendo,3,miscellaneous,2010,Activision,FreeStyle Games,8.7,0.62,0.48,0.09,0,0.04
Game & Watch Gallery 4,Game Boy Advance,Nintendo,1,miscellaneous,2002,Nintendo,Nintendo,6.4,0.61,0.43,0.16,0,0.01
WarioWare D.I.Y.,DS,Nintendo,1,miscellaneous,2010,Nintendo,Intelligent Systems,8.3,0.59,0.17,0.18,0.2,0.04
Guitar Hero: Smash Hits,Wii,Nintendo,4,miscellaneous,2009,Activision,Neversoft Entertainment,7.5,0.58,0.31,0.21,0,0.06
Trivial Pursuit,Wii,Nintendo,3,miscellaneous,2009,Electronic Arts,Adrenalin Interactive,7.3,0.57,0.2,0.3,0,0.06
LEGO Rock Band,Xbox 360,Microsoft,4,miscellaneous,2009,Warner Bros. Interactive,TT Games / Harmonix Music Systems,7.3,0.56,0.4,0.11,0,0.05
Barbie Groovy Games,Game Boy Advance,Nintendo,1,miscellaneous,2002,Universal Interactive,Digital Illusions (DICE),3,0.56,0.4,0.15,0,0.01
Sesame Street: Once Upon A Monster,Xbox 360,Microsoft,1,miscellaneous,2011,Warner Bros. Interactive,Double Fine Productions,8,0.52,0.39,0.09,0,0.04
Theatrhythm: Final Fantasy,3DS,Nintendo,1,miscellaneous,2012,Square Enix,Jupiter Multimedia,7.8,0.51,0.22,0.07,0.18,0.03
Pokémon Art Academy,3DS,Nintendo,1,miscellaneous,2014,Nintendo,Headstrong Games,7.8,0.5,0.18,0.12,0.17,0.03
Art Academy: Lessons for Everyone!,3DS,Nintendo,1,miscellaneous,2012,Nintendo,Headstrong Games,8,0.49,0.2,0.05,0.21,0.02
You're in the Movies,Xbox 360,Microsoft,1,miscellaneous,2008,Microsoft,Zoe Mode,5.1,0.48,0.27,0.17,0,0.05
Dragon Ball Z: Collectible Card Game,Game Boy Advance,Nintendo,1,miscellaneous,2002,Infogrames,Magellan Interactive,6,0.46,0.33,0.12,0,0.01
Band Hero,DS,Nintendo,5,miscellaneous,2009,Activision,Vicarious Visions,6.3,0.45,0.22,0.19,0,0.05
LEGO Rock Band,DS,Nintendo,4,miscellaneous,2009,Warner Bros. Interactive,TT Games / Harmonix Music Systems,8.4,0.45,0.32,0.09,0,0.04
Story of Seasons,3DS,Nintendo,1,miscellaneous,2015,Xseed Games,Marvelous,7.7,0.44,0,0.15,0.28,0.01
Guitar Hero: Smash Hits,Xbox 360,Microsoft,4,miscellaneous,2009,Activision,Neversoft Entertainment,7.1,0.42,0.23,0.15,0,0.04
Sonic Gems Collection,GameCube,Nintendo,1,miscellaneous,2005,Sega,Sonic Team,6.9,0.42,0.32,0.08,0,0.01
SpongeBob SquigglePants,Wii,Nintendo,1,miscellaneous,2011,THQ,WayForward Technologies,5.4,0.41,0.35,0.03,0,0.03
Green Day: Rock Band,Xbox 360,Microsoft,3,miscellaneous,2010,MTV Games,Harmonix Music Systems,7.8,0.41,0.24,0.13,0,0.04
Donkey Konga 2,GameCube,Nintendo,1,miscellaneous,2005,Nintendo,Namco,6.5,0.39,0.3,0.08,0,0.01
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Nintendo,1,miscellaneous,2014,Unknown,Capcom,8.1,0.38,0,0,0.38,0
Hatsune Miku: Project Mirai DX,3DS,Nintendo,1,miscellaneous,2015,Sega,Sega,7.5,0.38,0.2,0.04,0.11,0.03
Minecraft,3DS,Nintendo,3,miscellaneous,2017,Nintendo,Other Ocean Interactive,6.7,0.37,0.33,0,0,0.04
Guitar Hero On Tour: Modern Hits,DS,Nintendo,1,miscellaneous,2009,Activision,Activision,7.3,0.37,0.13,0.2,0,0.04
Elite Beat Agents,DS,Nintendo,1,miscellaneous,2006,Nintendo,iNiS,8.4,0.37,0.3,0.03,0,0.03
Namco Museum: Virtual Arcade,Xbox 360,Microsoft,1,miscellaneous,2008,Namco Bandai,Namco Bandai Games,7,0.31,0.27,0.01,0.01,0.02
Def Jam Rapstar,Xbox 360,Microsoft,2,miscellaneous,2010,Konami,4mm Games / Terminal Reality,7.4,0.3,0.26,0.03,0,0.02
Guitar Hero: Van Halen,Xbox 360,Microsoft,3,miscellaneous,2009,Activision,Neversoft Entertainment,6.2,0.3,0.16,0.1,0,0.03
Duel Masters: Sempai Legends,Game Boy Advance,Nintendo,1,miscellaneous,2004,Atari,Mistic Software,7.1,0.29,0.21,0.08,0,0.01
Rock Revolution,Xbox 360,Microsoft,2,miscellaneous,2008,Konami,Zoe Mode / HB Studios,3.6,0.29,0.26,0,0,0.02
WarioWare Gold,3DS,Nintendo,1,miscellaneous,2018,Nintendo,Intelligent Systems,8.1,0.28,0.11,0.03,0.13,0.01
Guitar Hero: Van Halen,Wii,Nintendo,3,miscellaneous,2009,Activision,Neversoft Entertainment,5,0.28,0.13,0.12,0,0.03
Pac-Man Fever,GameCube,Nintendo,2,miscellaneous,2002,Namco,Mass Media,5.1,0.28,0.21,0.06,0,0.01
Rhythm Thief & the Emperor's Treasure,3DS,Nintendo,1,miscellaneous,2012,Sega,Sega,7.5,0.28,0.07,0.07,0.12,0.01
Brain Age: Concentration Training,3DS,Nintendo,1,miscellaneous,2013,Nintendo,Nintendo,7.5,0.27,0,0,0.27,0
Metroid Prime Pinball,DS,Nintendo,1,miscellaneous,2005,Nintendo,Fuse Games Limited,7.6,0.26,0.22,0,0.02,0.02
Dreamcast Collection,Xbox 360,Microsoft,1,miscellaneous,2011,Sega,Sega,5.3,0.24,0.16,0.06,0,0.02
Viva Pinata: Party Animals,Xbox 360,Microsoft,1,miscellaneous,2007,Microsoft Game Studios,Krome Studios,5.5,0.23,0.19,0.02,0,0.02
AC/DC LIVE: Rock Band Track Pack,Xbox 360,Microsoft,1,miscellaneous,2008,MTV Games,Harmonix Music Systems,6.7,0.23,0.21,0,0,0.02
Duel Masters: Kaijudo Showdown,Game Boy Advance,Nintendo,1,miscellaneous,2004,Atari,Mistic Software,5.8,0.22,0.16,0.06,0,0
Britney's Dance Beat,Game Boy Advance,Nintendo,2,miscellaneous,2002,THQ,Art,6.3,0.22,0.15,0.06,0,0
You Don't Know Jack,Wii,Nintendo,4,miscellaneous,2011,THQ,"Jellyvision, Inc.",8,0.21,0.19,0,0,0.02
Rayman Raving Rabbids,Xbox 360,Microsoft,3,miscellaneous,2007,Ubisoft,Ubisoft Montpellier,6.4,0.21,0.18,0.01,0,0.02
You Don't Know Jack,Xbox 360,Microsoft,4,miscellaneous,2011,THQ,"Jellyvision, Inc.",7.7,0.21,0.19,0,0,0.02
DanceMasters,Xbox 360,Microsoft,1,miscellaneous,2010,Konami,GCP1,6.2,0.2,0.15,0.02,0.02,0.01
Body and Brain Connection,Xbox 360,Microsoft,1,miscellaneous,2011,Namco Bandai,Namco Bandai Games,6,0.2,0.1,0.08,0,0.02
MC Groovz Dance Craze,GameCube,Nintendo,1,miscellaneous,2004,Mad Catz,Mad Catz,2.5,0.2,0.15,0.04,0,0.01
SpongeBob SquigglePants 3D,3DS,Nintendo,1,miscellaneous,2011,THQ,WayForward Technologies,6.1,0.19,0.13,0.05,0,0.02
Daigasso! Band Brothers,DS,Nintendo,1,miscellaneous,2004,Nintendo,Nintendo R&D2,8,0.19,0,0,0.19,0
Atari Anniversary Advance,Game Boy Advance,Nintendo,1,miscellaneous,2002,Atari,Digital Eclipse,7.7,0.18,0.13,0.05,0,0
All Grown Up! Express Yourself,Game Boy Advance,Nintendo,1,miscellaneous,2004,THQ,Altron,3.7,0.18,0.13,0.05,0,0
Let's TAP,Wii,Nintendo,1,miscellaneous,2009,Sega,PROPE,7,0.17,0.08,0.06,0.01,0.02
Bomberman Land,Wii,Nintendo,1,miscellaneous,2008,Hudson Soft,Hudson Soft,6,0.17,0.11,0.02,0.03,0.01
Midway Arcade Treasures,GameCube,Nintendo,3,miscellaneous,2003,Midway Games,Digital Eclipse,6.8,0.17,0.13,0.03,0,0
Midway Arcade Treasures 2,GameCube,Nintendo,3,miscellaneous,2004,Midway Games,Backbone Entertainment,7.2,0.16,0.13,0.03,0,0
World Series of Poker: Tournament of Champions 2007 Edition,Xbox 360,Microsoft,1,miscellaneous,2006,Activision,Left Field Productions,6.9,0.16,0.15,0,0,0.01
We Dance,Wii,Nintendo,1,miscellaneous,2011,Nordic Games,Nordic Games,3.5,0.16,0,0.14,0,0.02
Create,Xbox 360,Microsoft,3,miscellaneous,2010,Electronic Arts,EA Bright Light,6.3,0.14,0.1,0.03,0,0.01
