title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Batman: Arkham Asylum,X360,action,25th Aug 09,Eidos Interactive,Rocksteady Studios,3.54,2.24,0.95,0.02,0.33
Assassin's Creed: Brotherhood,X360,action,16th Nov 10,Ubisoft,Ubisoft Montreal,3.53,2.87,0.39,0.03,0.25
LEGO Star Wars: The Video Game,PS2,action,02nd Apr 05,Eidos Interactive,Traveller's Tales,3.53,1.98,1.14,0.01,0.41
Resident Evil 5,X360,action,13th Mar 09,Capcom,Capcom,3.53,2.13,0.93,0.12,0.34
Rugrats in Paris: The Movie,PS,action,29th Oct 00,THQ,Avalanche Software,3.52,1.96,1.33,NA,0.23
Kung Fu,NES,action,01st Oct 85,Nintendo,Irem Software Engineering,3.50,1.64,0.38,1.42,0.06
Grand Theft Auto 2,PS,action,25th Oct 99,Rockstar Games,DMA Design,3.42,1.13,2.07,NA,0.22
Spider-Man 2,PS2,action,28th Jun 04,Activision,Treyarch,3.41,1.75,1.20,0.02,0.43
Watch Dogs 2,PS4,action,15th Nov 16,Ubisoft,Ubisoft,3.36,0.98,1.74,0.12,0.52
Star Wars Episode III: Revenge of the Sith,PS2,action,04th May 05,LucasArts,The Collective,3.32,1.47,1.39,0.03,0.43
Resident Evil VII: Biohazard,PS4,action,24th Jan 17,Capcom,Capcom,3.31,0.88,1.56,0.41,0.46
The Lord of the Rings: The Return of the King,PS2,action,05th Nov 03,Electronic Arts,"Hypnos Entertainment, Inc.",3.28,1.50,1.28,0.05,0.46
True Crime: Streets of LA,PS2,action,03rd Nov 03,Activision,Luxoflux,3.27,1.89,1.05,0.02,0.31
God of War: Chains of Olympus,PSP,action,04th Mar 08,Sony Computer Entertainment,Ready at Dawn,3.19,1.48,1.00,0.04,0.66
Middle-Earth: Shadow of Mordor,PS4,action,30th Sep 14,Warner Bros. Interactive Entertainment,Monolith Productions,3.19,1.03,1.60,0.05,0.51
Enter the Matrix,PS2,action,14th May 03,Atari,Shiny Entertainment,3.18,1.78,1.12,0.09,0.19
